N	3gram	Bakhtin_fo	VLabPisa
1	и т д	3	16
2	в этом отношении	5	14
3	и т п	18	9
4	не может быть	4	8
5	по отношению к	3	7
6	в то же	10	5
7	в том что	4	5
8	то же время	13	5
9	вместе с тем	3	4
10	в связи с	12	4
11	равно как и	4	4
12	для того чтобы	11	3
13	и др в	2	3
14	и в то	7	3
15	о том как	2	3
16	о том что	2	3
17	в значительной мере	2	3
18	во всех этих	2	2
19	в точном смысле	3	2
20	с одной стороны	3	2
21	в том числе	7	2
22	одной стороны и	2	2
23	не только в	6	2
24	том числе и	4	2
25	лишь в пределах	2	2
26	до сих пор	4	2
27	также и в	3	2
28	в другом месте	2	2
