N	3gram	Tiupa_Disk	Komedia
1	в том что	18	29
2	к тому же	4	21
3	то же время	9	16
4	в то же	7	16
5	о том что	8	13
6	в свою очередь	3	10
7	едва ли не	2	10
8	по отношению к	13	9
9	с одной стороны	12	9
10	речь идет о	2	8
11	с другой стороны	4	8
12	в первую очередь	3	7
13	во всяком случае	2	7
14	с самого начала	2	7
15	говоря уже о	2	6
16	с точки зрения	3	6
17	в том числе	3	6
18	не говоря уже	2	6
19	в отличие от	12	6
20	то же самое	2	5
21	в этом отношении	4	5
22	более или менее	2	3
23	в соответствии с	4	3
24	на мой взгляд	3	3
25	том числе и	3	3
26	не более чем	3	3
27	ни одно из	2	3
28	состоит в том	3	3
29	по своему происхождению	2	3
30	но при этом	3	2
31	в большинстве случаев	2	2
32	только в том	2	2
33	подобно тому как	4	2
34	потому что в	2	2
35	и все же	3	2
36	каждый из них	2	2
37	в одной из	2	2
38	так и в	4	2
39	том что в	3	2
40	не только в	2	2
41	в основе своей	4	2
42	в этом случае	3	2
43	в частности в	2	2
44	в конечном счете	2	2
45	как и в	3	2
46	как будто бы	2	2
47	одной стороны и	3	2
48	и в то	2	2
