N	3gram	Nazirov_Tv	KulturaY
1	и т п	4	93
2	и т д	10	42
3	в том что	8	33
4	в самом деле	2	29
5	во всяком случае	2	19
6	тем не менее	2	19
7	с другой стороны	2	17
8	по крайней мере	4	13
9	по отношению к	3	13
10	в связи с	2	12
11	не может быть	2	11
12	о том что	6	10
13	на самом деле	2	8
14	не только в	2	8
15	в свою очередь	2	7
16	в то же	19	6
17	то же время	18	6
18	в отличие от	2	6
19	на этот вопрос	2	5
20	в соответствии с	7	5
21	так и в	2	5
22	в данном случае	2	5
23	в конечном счете	4	4
24	точно так же	3	4
25	в таком случае	2	3
26	не могут быть	2	3
27	в известном смысле	2	3
28	в наше время	4	3
29	в своей известной	3	2
30	это не значит	2	2
31	в одном из	2	2
32	в известной мере	2	2
33	едва ли не	2	2
34	что все это	3	2
35	а может быть	2	2
36	можно сказать что	2	2
37	сами по себе	2	2
38	и в то	3	2
