N	2gram	Medvedev_U	EvropaiE
1	и в	14	37
2	не только	10	18
3	в то	3	16
4	хотя бы	5	15
5	то же	5	15
6	но в	3	14
7	но и	4	14
8	и не	8	14
9	же время	3	14
10	в этом	7	12
11	в том	2	11
12	в их	4	11
13	в области	3	11
14	не может	7	9
15	в себе	2	9
16	прежде всего	8	9
17	только в	2	9
18	между тем	2	8
19	было бы	3	8
20	в своей	3	8
21	с другой	4	7
22	как и	3	7
23	том что	2	6
24	может быть	6	6
25	то что	7	6
26	но не	2	5
27	в россии	4	5
28	не в	2	5
29	в частности	3	5
30	в самом	2	4
31	но даже	2	4
32	мы не	2	4
33	по себе	2	4
34	ни было	3	4
35	то ни	3	4
36	бы то	3	4
37	и для	2	3
38	и только	5	3
39	очевидно что	3	3
40	этом смысле	2	3
41	бы и	2	3
42	что и	2	3
43	тем что	2	3
44	этом отношении	2	3
45	по нашему	3	3
46	в его	2	2
47	не есть	2	2
48	и то	3	2
49	меньшей степени	2	2
50	не могут	2	2
51	в сторону	2	2
52	только к	3	2
53	и с	2	2
54	могут быть	2	2
55	другой стороны	3	2
56	что все	2	2
57	если бы	2	2
58	более чем	2	2
59	а не	10	2
60	или точнее	3	2
61	таким образом	2	2
62	в этой	4	2
63	в некоторых	2	2
64	должна быть	2	2
65	нашему мнению	3	2
