N	2gram	Propp_Isto	PoTuStor
1	может быть	19	17
2	и в	41	16
3	и пр	2	12
4	мы можем	11	9
5	в этом	19	9
6	и только	4	9
7	таким образом	15	9
8	прежде всего	6	9
9	и с	4	8
10	точки зрения	4	8
11	не может	19	8
12	и его	11	8
13	сказать что	5	7
14	не только	30	7
15	с его	4	7
16	и это	9	6
17	к отцу	2	6
18	конечно не	2	6
19	при этом	7	6
20	ту сторону	2	5
21	ни в	4	5
22	все эти	8	5
23	что такое	2	5
24	как бы	8	5
25	еще не	13	5
26	в чем	5	5
27	в него	4	5
28	отношение к	6	5
29	как мы	6	4
30	и на	12	4
31	все это	9	4
32	его в	7	4
33	в его	4	4
34	и ее	6	4
35	но и	20	4
36	и не	12	4
37	и все	6	4
38	но в	7	4
39	в этой	2	4
40	но мы	3	4
41	и наконец	6	4
42	так как	21	4
43	все что	4	4
44	только в	10	4
45	в нем	12	4
46	с ними	2	4
47	можно сказать	3	4
48	так и	8	4
49	в один	2	4
50	и даже	3	4
51	и она	3	3
52	что в	21	3
53	жизни и	3	3
54	и оно	2	3
55	и как	3	3
56	тех же	2	3
57	а в	12	3
58	в том	14	3
59	их в	3	3
60	и вот	2	3
61	в области	3	3
62	те же	2	3
63	до сих	4	3
64	в основном	2	3
65	только на	2	3
66	и есть	2	3
67	во время	7	3
68	но оно	3	3
69	в этих	16	3
70	отношения к	2	3
71	как это	6	3
72	то что	12	3
73	во всех	8	3
74	мира и	2	3
75	могут быть	3	3
76	сих пор	5	3
77	всяком случае	3	3
78	вместе с	17	3
79	в одном	2	3
80	к себе	4	3
81	и др	4	3
82	мы знаем	4	3
83	во всяком	3	3
84	том что	18	3
85	в основе	2	3
86	один из	7	2
87	никогда не	16	2
88	для нас	8	2
89	что мы	3	2
90	мы видим	14	2
91	есть и	6	2
92	в них	4	2
93	здесь же	3	2
94	не можем	3	2
95	в жизни	2	2
96	и действительно	4	2
97	кажется что	7	2
98	к ним	3	2
99	в одно	2	2
100	же как	6	2
101	что не	3	2
102	нам кажется	5	2
103	что это	6	2
104	другими словами	3	2
105	и по	7	2
106	вообще не	4	2
107	а на	2	2
108	что и	13	2
109	не менее	5	2
110	ее в	3	2
111	на первый	6	2
112	во сне	2	2
113	было бы	4	2
114	не могут	3	2
115	сводится к	3	2
116	и других	2	2
117	на друга	2	2
118	о том	15	2
119	то же	12	2
120	они не	4	2
121	с этим	3	2
122	как и	8	2
123	что он	29	2
124	так же	6	2
125	того же	3	2
126	находится на	2	2
127	в своей	4	2
128	мы не	10	2
129	из этих	6	2
130	но как	4	2
131	в самом	2	2
132	находится в	2	2
133	знаем что	5	2
134	в начале	2	2
135	с этой	7	2
136	в свое	3	2
137	в частности	3	2
138	связанные с	3	2
139	он не	8	2
140	у него	16	2
141	ту же	3	2
142	и о	2	2
143	оно не	2	2
144	всех его	2	2
145	к этому	5	2
146	и через	2	2
147	по всему	3	2
148	не знает	2	2
149	не удается	2	2
150	и так	2	2
151	всех других	2	2
152	и этим	7	2
153	друг на	2	2
154	мы уже	10	2
155	не будет	6	2
156	с ним	9	2
157	но это	5	2
