N	2gram	Vygotskiy_	SlovoVZh
1	не может	17	16
2	точки зрения	19	14
3	может быть	33	14
4	и его	8	13
5	как бы	29	13
6	и в	65	12
7	таким образом	21	12
8	и не	20	10
9	так как	13	9
10	если бы	22	9
11	прежде всего	2	8
12	для нас	14	7
13	сказать что	14	7
14	художественного произведения	2	7
15	слова и	3	6
16	все время	36	6
17	при этом	10	6
18	в том	46	6
19	в нем	8	6
20	только в	9	6
21	в ней	23	6
22	никогда не	9	5
23	как в	8	5
24	что мы	6	5
25	в жизни	6	5
26	в виду	6	5
27	можно сказать	2	5
28	но в	5	5
29	том что	28	5
30	то же	17	5
31	как и	12	5
32	и следовательно	2	5
33	должна быть	5	5
34	хотя бы	3	5
35	а не	11	5
36	то что	61	5
37	отнюдь не	2	5
38	в самом	41	4
39	в этом	37	4
40	не только	16	4
41	на самом	3	4
42	что не	5	4
43	как если	3	4
44	его в	5	4
45	жизни и	6	4
46	материала и	2	4
47	мы все	6	4
48	не в	12	4
49	с другой	8	4
50	все же	10	4
51	к нему	2	4
52	и к	5	4
53	так и	3	4
54	и на	7	4
55	уже не	2	4
56	отношение к	2	4
57	как к	6	3
58	в них	4	3
59	по себе	5	3
60	в каком	8	3
61	о том	17	3
62	и для	4	3
63	слово в	2	3
64	или не	3	3
65	имеет в	2	3
66	не должна	2	3
67	так называемой	4	3
68	не к	5	3
69	он должен	2	3
70	из этого	10	3
71	и уже	5	3
72	ни в	6	3
73	все эти	7	3
74	в котором	7	3
75	и наконец	2	3
76	так же	12	3
77	в своей	6	3
78	мы не	7	3
79	конечно не	6	3
80	в себе	9	3
81	художественное произведение	2	3
82	еще не	3	3
83	здесь не	3	3
84	все это	12	3
85	только на	3	3
86	когда он	8	3
87	и ее	4	3
88	в некоторых	2	3
89	между тем	10	3
90	и с	4	3
91	этой точки	2	3
92	сих пор	6	3
93	с ним	6	3
94	до сих	7	3
95	и по	2	3
96	поэтического произведения	2	3
97	в такой	5	3
98	самом деле	33	3
99	того что	9	3
100	и более	4	3
101	но и	6	3
102	для него	4	3
103	ясно что	11	3
104	едва ли	4	2
105	и дает	3	2
106	одно и	4	2
107	конечно в	3	2
108	и то	10	2
109	мы в	4	2
110	в его	11	2
111	которые мы	2	2
112	данном случае	5	2
113	к его	2	2
114	имеет место	2	2
115	до конца	5	2
116	и здесь	9	2
117	что в	36	2
118	к ним	3	2
119	а к	2	2
120	не так	4	2
121	место в	6	2
122	ничего не	4	2
123	общего с	2	2
124	с его	2	2
125	и те	2	2
126	как не	3	2
127	что и	7	2
128	это не	7	2
129	и все	14	2
130	можно найти	2	2
131	кроме того	2	2
132	там где	7	2
133	с точки	11	2
134	что поэт	4	2
135	она не	10	2
136	но все	2	2
137	тому же	2	2
138	в своем	8	2
139	на все	2	2
140	дело с	5	2
141	бы не	5	2
142	все они	3	2
143	в данном	5	2
144	его к	2	2
145	но мы	4	2
146	независимо от	2	2
147	действия и	3	2
148	из него	4	2
149	зависит от	2	2
150	мы имеем	2	2
151	и что	29	2
152	на примере	3	2
153	можем сказать	2	2
154	в то	5	2
155	те же	2	2
156	словами и	2	2
157	смысл и	8	2
158	с этой	5	2
159	в этих	3	2
160	одной стороны	6	2
161	еще раз	3	2
162	связь с	5	2
163	и другие	3	2
164	но это	6	2
165	он не	11	2
166	в какой	8	2
167	как же	2	2
168	такой же	2	2
169	как только	4	2
170	как на	9	2
171	имеем в	3	2
172	но не	3	2
173	как это	13	2
174	на это	6	2
175	автора и	2	2
176	если же	3	2
177	мы можем	12	2
178	была бы	5	2
179	совпадает с	2	2
180	в чем	3	2
181	между собой	2	2
182	и так	4	2
183	с одной	7	2
184	относится к	2	2
185	к этому	5	2
186	же самое	14	2
187	и значение	4	2
188	что форма	2	2
189	тогда когда	2	2
190	и та	3	2
191	от этой	2	2
192	но что	3	2
193	другой стороны	5	2
194	вместе с	10	2
195	на него	3	2
196	и совершенно	9	2
