N	2gram	Bakhtin_Fr	Russkaja
1	не может	4	22
2	и не	13	19
3	в том	13	17
4	в этом	21	17
5	и в	73	14
6	то что	12	13
7	точки зрения	6	11
8	то же	16	11
9	таким образом	34	11
10	в то	14	10
11	но и	15	10
12	же время	12	10
13	не только	11	9
14	том что	8	9
15	может быть	5	9
16	в себе	16	9
17	с точки	4	9
18	во всяком	2	9
19	того чтобы	2	8
20	прежде всего	18	8
21	и с	17	7
22	к тому	2	7
23	о том	13	7
24	в данном	3	7
25	самом деле	4	7
26	с тем	2	6
27	на самом	2	6
28	и для	8	6
29	для всех	3	6
30	и к	6	6
31	все это	19	6
32	что он	8	6
33	в своем	13	6
34	для него	7	6
35	а в	10	5
36	было бы	5	5
37	из которых	2	5
38	между собой	2	5
39	и на	12	5
40	потому что	9	5
41	при этом	5	5
42	в нем	18	5
43	в своей	4	5
44	конечно не	2	5
45	только в	7	5
46	никогда не	6	5
47	он не	4	5
48	сих пор	3	5
49	между тем	2	5
50	во всех	13	5
51	по существу	8	5
52	до сих	3	5
53	и то	3	4
54	что в	14	4
55	его в	3	4
56	все же	2	4
57	себя в	3	4
58	не могут	3	4
59	не в	12	4
60	как и	19	4
61	более или	3	4
62	в мире	3	4
63	как бы	15	4
64	все что	5	4
65	можно было	4	4
66	так как	9	4
67	и т.д	3	4
68	которой он	2	4
69	жизни и	6	4
70	в его	18	4
71	в их	5	4
72	на земле	5	4
73	во всем	5	4
74	в этой	18	4
75	в совершенно	2	4
76	себе и	2	4
77	вместе с	9	4
78	в другое	5	4
79	или менее	3	4
80	одной из	5	3
81	был и	3	3
82	все они	7	3
83	одна из	7	3
84	для этого	2	3
85	о котором	5	3
86	в большинстве	9	3
87	что все	3	3
88	что это	9	3
89	на том	2	3
90	именно в	4	3
91	должно быть	4	3
92	не есть	2	3
93	всех этих	2	3
94	и потому	6	3
95	в другом	4	3
96	в значительной	5	3
97	в конце	9	3
98	из них	6	3
99	в самом	9	3
100	и как	5	3
101	несмотря на	3	3
102	так чтобы	3	3
103	что и	6	3
104	конце концов	5	3
105	мира от	2	3
106	или в	5	3
107	лишь в	2	3
108	он сам	4	3
109	из этого	2	3
110	таким же	4	3
111	и во	4	3
112	и по	4	3
113	связи с	5	3
114	еще не	3	3
115	в виде	2	3
116	того что	5	3
117	в качестве	11	3
118	что они	2	3
119	не было	4	3
120	тем что	8	3
121	а следовательно	2	3
122	и о	2	2
123	этой роли	2	2
124	в течение	2	2
125	и от	10	2
126	с этим	4	2
127	однако они	2	2
128	в таких	2	2
129	есть и	4	2
130	тем самым	3	2
131	и те	5	2
132	следовательно и	2	2
133	большинстве случаев	9	2
134	к нему	7	2
135	на этой	4	2
136	из всех	2	2
137	только с	2	2
138	но в	12	2
139	не подлежит	4	2
140	ни в	7	2
141	в котором	4	2
142	так же	11	2
143	их в	5	2
144	от этой	2	2
145	в начале	4	2
146	это в	4	2
147	людей и	3	2
148	в ней	10	2
149	уже не	2	2
150	на которой	3	2
151	время в	3	2
152	весьма часто	2	2
153	в результате	7	2
154	благодаря этому	3	2
155	по отношению	3	2
156	и даже	4	2
157	а не	2	2
158	для нас	2	2
159	по этому	4	2
160	по себе	2	2
161	от него	3	2
162	целый ряд	4	2
163	место в	4	2
164	к себе	3	2
165	проявляется в	3	2
166	бы его	2	2
167	отметить что	2	2
168	в других	2	2
169	и тем	3	2
170	ведь в	2	2
171	и вот	3	2
172	и что	5	2
173	но это	3	2
174	все эти	24	2
175	и наконец	6	2
176	не просто	3	2
177	в этих	6	2
178	народа и	4	2
179	только на	2	2
180	в частности	2	2
181	и есть	3	2
182	так что	2	2
183	во время	12	2
184	именно на	2	2
185	во многих	2	2
186	должна быть	3	2
187	в области	3	2
188	за то	4	2
189	вся эта	2	2
190	с ним	6	2
191	у него	13	2
192	там и	3	2
193	мы уже	25	2
194	том и	2	2
