N	2gram	Medvedev_U	VerxiiNi
1	и в	14	26
2	таким образом	2	22
3	в этом	7	15
4	в том	2	11
5	не только	10	10
6	и с	2	10
7	может быть	6	10
8	в области	3	9
9	но и	4	9
10	но не	2	8
11	с другой	4	8
12	и у	2	8
13	и не	8	8
14	то что	7	7
15	но в	3	7
16	том что	2	7
17	все же	3	6
18	в себе	2	6
19	в конце	2	6
20	что и	2	6
21	и т.д	3	6
22	все это	5	6
23	и для	2	5
24	в его	2	5
25	крайней мере	2	5
26	а не	10	5
27	по крайней	2	5
28	сих пор	2	5
29	до сих	2	5
30	что все	2	4
31	в самом	2	4
32	не может	7	4
33	то же	5	4
34	только в	2	4
35	что он	2	4
36	и только	5	4
37	в этой	4	4
38	в то	3	4
39	хотя бы	5	3
40	если бы	2	3
41	конце концов	2	3
42	к сожалению	3	3
43	для него	3	3
44	для этого	3	2
45	и является	2	2
46	не могут	2	2
47	в россии	4	2
48	надо было	2	2
49	для всех	2	2
50	между тем	2	2
51	одним из	2	2
52	при таком	2	2
53	не как	3	2
54	конечно не	4	2
55	если не	2	2
56	что мы	2	2
57	превращается в	2	2
58	этом отношении	2	2
59	не в	2	2
60	то ни	3	2
61	ни было	3	2
62	перестает быть	5	2
63	же время	3	2
64	должна была	2	2
65	прежде всего	8	2
66	бы то	3	2
67	с его	2	2
68	же самое	2	2
69	по существу	2	2
