N	3gram	Bakhtin_Fr	Vladivir
1	в том что	8	29
2	о том что	5	22
3	в то время	3	13
4	дело в том	4	13
5	в связи с	5	12
6	более или менее	2	11
7	к тому же	3	11
8	в то же	14	10
9	с точки зрения	5	10
10	не может быть	4	10
11	вместе с тем	2	10
12	то же время	14	9
13	а также и	4	8
14	в конце жизни	2	8
15	на первый план	3	7
16	в данном случае	4	6
17	в отличие от	3	6
18	как мы видели	4	6
19	с другой стороны	2	6
20	и в то	3	5
21	что и в	2	5
22	он не только	2	5
23	можно сказать что	4	4
24	как мы уже	6	4
25	в этом отношении	7	4
26	также и в	2	4
27	можно было бы	2	4
28	с одной стороны	2	4
29	для того чтобы	8	4
30	с самого начала	3	3
31	в том числе	6	3
32	в самом деле	2	3
33	мы уже сказали	3	3
34	на самом же	4	3
35	самом же деле	4	3
36	и прежде всего	4	2
37	это конечно не	4	2
38	и не в	2	2
39	и тот же	2	2
40	но в то	6	2
41	как мы сказали	2	2
42	то есть о	2	2
43	так же как	4	2
44	до сих пор	3	2
45	совершенно так же	2	2
46	но в общем	2	2
47	и даже в	2	2
48	здесь перед нами	3	2
49	это и есть	2	2
50	связи с этим	3	2
