N	3gram	Tiupa_Vved	Myshleni
1	в том что	10	133
2	по отношению к	11	42
3	с одной стороны	9	39
4	то же самое	2	31
5	в этом отношении	7	30
6	можно было бы	2	28
7	с другой стороны	2	26
8	о том что	6	25
9	на то что	2	25
10	не может быть	6	23
11	в высшей степени	2	22
12	и тем самым	2	19
13	в самом деле	2	19
14	в отличие от	11	18
15	во всяком случае	3	18
16	состоит в том	2	18
17	как мы видели	3	17
18	в данном случае	15	15
19	друг от друга	2	14
20	в свою очередь	5	14
21	подобно тому как	3	14
22	а с другой	3	13
23	тем не менее	3	12
24	в том чтобы	2	12
25	одной стороны и	3	10
26	по своей природе	2	10
27	друг на друга	2	10
28	на самом деле	4	9
29	в конечном счете	2	9
30	более или менее	2	9
31	как и в	2	9
32	речь идет о	3	8
33	той или иной	4	8
34	заключает в себе	4	6
35	в той мере	2	5
36	в то же	5	5
37	той мере в	2	5
38	едва ли не	2	5
39	мере в какой	2	5
40	не только в	3	5
41	тому или иному	2	4
42	но и в	3	4
43	по аналогии с	2	4
44	на этот раз	2	4
45	мы имеем дело	5	4
46	в значительной степени	2	4
47	имеем дело с	4	3
48	в соответствии с	8	3
49	но при этом	3	3
50	к тому же	6	3
51	что у нее	2	3
52	то же время	4	3
53	как и для	3	2
54	и все же	6	2
55	между детьми и	4	2
56	не входит в	2	2
57	в частности в	2	2
58	может быть не	3	2
59	с того что	2	2
60	в этих случаях	2	2
61	в заключительной главе	2	2
62	не столько в	2	2
63	в этом направлении	2	2
64	как бы в	2	2
65	по сути дела	4	2
66	начинается с того	2	2
