N	3gram	Losev_Prob	VerxiiNi
1	вместе с тем	5	8
2	с одной стороны	5	7
3	с точки зрения	13	6
4	во всяком случае	6	6
5	для того чтобы	3	5
6	по крайней мере	8	5
7	до сих пор	3	5
8	в том числе	2	5
9	а с другой	3	5
10	но все же	2	4
11	и вместе с	3	4
12	к тому же	5	4
13	о том что	14	4
14	в конце концов	7	3
15	точно так же	4	3
16	так или иначе	3	3
17	тем не менее	8	3
18	в том что	13	3
19	в связи с	11	3
20	то ни было	2	2
21	бы то ни	4	2
22	можно сказать что	4	2
23	ничего общего с	2	2
24	на то что	2	2
25	то же самое	2	2
26	в то же	2	2
27	той или иной	4	2
28	и потому что	2	2
29	в значительной мере	3	2
30	не только для	2	2
31	с самого начала	3	2
32	этой точки зрения	2	2
33	с этой точки	2	2
34	в этом отношении	4	2
