N	3gram	Vinokur_Ku	Tvorches
1	в то же	4	25
2	то же время	4	24
3	и т д	21	17
4	в том что	23	11
5	в соответствии с	5	8
6	о том что	6	8
7	в конечном счете	2	6
8	не может быть	5	6
9	и т п	39	5
10	по отношению к	8	5
11	в самом деле	14	5
12	в наше время	3	5
13	по крайней мере	11	4
14	с точки зрения	16	4
15	до сих пор	5	4
16	чуть ли не	3	3
17	точно так же	4	3
18	дело не в	3	3
19	с другой стороны	12	3
20	что все это	2	3
21	сами по себе	2	3
22	во всяком случае	8	3
23	в отличие от	3	3
24	на самом деле	3	2
25	тем не менее	9	2
26	на этот вопрос	3	2
27	не только в	4	2
28	для того чтобы	21	2
29	можно сказать что	2	2
30	в этой области	3	2
31	так и в	2	2
32	в связи с	4	2
33	в первую очередь	3	2
34	вместе с тем	3	2
35	заключается в том	2	2
36	в конце концов	3	2
37	так же как	3	2
38	в целом и	2	2
39	и в самом	4	2
40	не потому что	4	2
41	в свою очередь	4	2
42	и в другом	2	2
