N	2gram	Tiupa_Narr	EvropaiE
1	и в	19	37
2	в пределах	2	25
3	точки зрения	10	23
4	что в	3	21
5	не только	32	18
6	с точки	2	17
7	в то	3	16
8	хотя бы	4	15
9	то же	4	15
10	в своем	2	14
11	но в	6	14
12	но и	23	14
13	и не	20	14
14	же время	4	14
15	в качестве	21	14
16	в этом	17	12
17	в том	18	11
18	в области	2	11
19	так и	9	10
20	так же	2	9
21	не может	10	9
22	отнюдь не	5	9
23	в себе	8	9
24	прежде всего	4	9
25	только в	4	9
26	одной стороны	7	8
27	между тем	3	8
28	в ее	3	8
29	было бы	4	8
30	с одной	7	8
31	к тому	7	8
32	с другой	8	7
33	а также	7	7
34	как и	7	7
35	того что	2	7
36	том что	14	6
37	в последние	2	6
38	вслед за	4	6
39	то есть	19	6
40	и даже	3	6
41	может быть	25	6
42	и на	3	6
43	то что	11	6
44	как бы	4	6
45	но не	6	5
46	тем самым	6	5
47	и потому	2	5
48	столь же	3	5
49	этой точки	2	5
50	в той	6	5
51	как мы	3	5
52	со стороны	9	5
53	не в	14	5
54	в частности	14	5
55	же как	3	5
56	одной из	4	5
57	даже в	2	4
58	сказать что	4	4
59	не имеет	2	4
60	или иного	2	4
61	или иной	5	4
62	можно сказать	5	4
63	то в	6	4
64	независимо от	2	4
65	именно в	6	4
66	в ней	3	4
67	по себе	5	4
68	несмотря на	2	4
69	тем более	2	4
70	мира в	5	4
71	ни было	3	4
72	той или	4	4
73	не на	2	4
74	как это	6	4
75	то ни	3	4
76	того или	2	4
77	бы то	3	4
78	никогда не	3	3
79	и для	2	3
80	и только	2	3
81	известном смысле	2	3
82	о том	6	3
83	идет о	2	3
84	в данном	5	3
85	всего лишь	2	3
86	время в	2	3
87	в будущем	2	3
88	ту или	2	3
89	когда он	3	3
90	можно было	2	3
91	мира и	2	3
92	в свою	3	3
93	в результате	2	3
94	не будет	3	3
95	из них	3	3
96	в известном	2	3
97	на себя	3	3
98	во второй	2	3
99	и тем	4	3
100	тем что	3	3
101	говорит о	2	3
102	этом отношении	3	3
103	не является	8	3
104	жизни в	3	3
105	в культуре	2	3
106	или иную	2	3
107	себе не	2	3
108	в таком	2	3
109	представляет собой	13	3
110	как в	7	3
111	в прошлом	3	3
112	как было	3	3
113	есть в	2	2
114	данном случае	4	2
115	в мире	9	2
116	если в	3	2
117	в его	9	2
118	не есть	3	2
119	что это	3	2
120	ни столь	2	2
121	совершенно очевидно	2	2
122	утверждать что	2	2
123	к нему	5	2
124	она не	2	2
125	а в	11	2
126	и сейчас	2	2
127	но как	2	2
128	далеко не	5	2
129	и с	4	2
130	в случае	7	2
131	что на	2	2
132	во втором	4	2
133	могут быть	3	2
134	другой стороны	4	2
135	между ними	2	2
136	в значительной	2	2
137	по своей	3	2
138	следует отметить	2	2
139	и как	5	2
140	мог бы	3	2
141	иначе говоря	6	2
142	жизни и	3	2
143	в силу	4	2
144	и того	2	2
145	а не	12	2
146	свою очередь	3	2
147	же в	4	2
148	точка зрения	6	2
149	и все	2	2
150	или в	2	2
151	наряду с	2	2
152	а именно	3	2
153	он не	3	2
154	как будто	3	2
155	во всей	2	2
156	в этой	5	2
157	между собой	2	2
158	хотя и	3	2
159	в какой	2	2
160	должна быть	2	2
161	он сам	2	2
162	имеет место	4	2
