N	2gram	Tiupa_Teor	VelikijI
1	и не	17	20
2	и в	24	16
3	то что	6	9
4	еще не	6	8
5	и потому	3	7
6	что они	2	7
7	а не	14	7
8	человека и	2	6
9	в мире	26	5
10	как бы	8	5
11	на себя	2	5
12	но и	14	5
13	все это	2	5
14	по пути	4	5
15	хотя и	4	5
16	того что	5	5
17	как и	6	4
18	потому что	3	4
19	в нем	7	4
20	во мне	2	4
21	в его	12	4
22	говорить о	4	4
23	в этом	12	4
24	что он	4	4
25	так и	14	4
26	никогда не	4	3
27	превращается в	2	3
28	в жизни	3	3
29	что в	10	3
30	в том	20	3
31	и для	3	3
32	тому что	2	3
33	но в	12	3
34	к тому	4	3
35	ни в	5	3
36	их в	3	3
37	оно не	2	3
38	в своей	8	3
39	во всех	3	3
40	личности и	4	3
41	к чему	2	3
42	в конце	2	3
43	в них	2	3
44	что и	2	3
45	лишь в	10	3
46	и что	4	3
47	не в	9	3
48	все эти	3	3
49	в этих	4	3
50	в чем	2	3
51	с его	6	3
52	и то	3	2
53	но не	13	2
54	не могли	2	2
55	тот кто	2	2
56	и это	2	2
57	это не	4	2
58	ее в	2	2
59	не только	24	2
60	не могут	2	2
61	а в	15	2
62	том что	11	2
63	вслед за	3	2
64	уже не	6	2
65	могут быть	5	2
66	значения и	2	2
67	к нам	2	2
68	от свободы	2	2
69	один из	2	2
70	не будет	3	2
71	того чтобы	5	2
72	мира в	3	2
73	только в	9	2
74	ведет по	2	2
75	и сам	4	2
76	в форме	4	2
77	в себя	5	2
78	прежде всего	3	2
79	между тем	5	2
80	а с	3	2
81	для него	5	2
82	не с	3	2
