N	3gram	Tiupa_Narr	Myslijsy
1	в том что	8	47
2	по отношению к	6	26
3	не может быть	5	19
4	тем не менее	3	18
5	в свою очередь	3	14
6	то же время	3	13
7	в то же	3	13
8	с другой стороны	4	12
9	более или менее	2	12
10	подобно тому как	2	11
11	сами по себе	2	11
12	с одной стороны	7	10
13	о том что	6	9
14	в таком случае	2	9
15	можно сказать что	4	7
16	не только в	2	7
17	с точки зрения	2	7
18	не то что	2	5
19	в данном случае	4	4
20	именно в том	2	4
21	не что иное	2	4
22	в этом отношении	3	4
23	что иное как	2	4
24	бы то ни	3	3
25	то есть в	2	3
26	в первом случае	2	3
27	этой точки зрения	2	3
28	тогда как в	2	3
29	а не в	2	3
30	можно было бы	2	3
31	на первый взгляд	2	3
32	и тем самым	3	3
33	точно так же	2	3
34	в связи с	2	3
35	по всей вероятности	2	3
36	так или иначе	2	3
37	так же как	2	2
38	и не в	4	2
39	то ни было	3	2
40	мог бы быть	2	2
41	состоит в том	3	2
42	мы имеем дело	2	2
43	не только о	2	2
44	но все же	4	2
