N	3gram	Tiupa_Hudo	Freidism
1	с точки зрения	5	15
2	не может быть	5	14
3	по отношению к	15	11
4	в самом деле	5	10
5	в том что	15	9
6	в то же	11	6
7	то же время	11	6
8	тем не менее	6	4
9	в этом отношении	4	4
10	в данном случае	3	4
11	мы уже знаем	2	3
12	но в то	3	3
13	о том что	14	3
14	в следующей главе	3	3
15	для того чтобы	2	3
16	в конечном счете	4	3
17	до сих пор	3	3
18	что же касается	2	3
19	то же самое	3	2
20	это прежде всего	2	2
21	к тому что	8	2
22	в предыдущей главе	3	2
23	с одной стороны	4	2
