N	2gram	Nazirov_Vr	Psycholo
1	то что	7	193
2	и в	8	190
3	в том	3	163
4	что в	7	123
5	том что	3	113
6	и что	8	108
7	может быть	4	107
8	таким образом	2	102
9	в этом	8	100
10	как бы	4	80
11	что он	4	76
12	не только	9	75
13	на то	3	73
14	и не	5	73
15	точки зрения	2	69
16	не может	2	68
17	так же	4	63
18	то же	5	54
19	о том	4	54
20	при этом	4	52
21	как и	6	51
22	в этой	2	43
23	никогда не	2	42
24	и все	7	42
25	вместе с	2	41
26	но и	7	40
27	при помощи	2	39
28	как раз	2	39
29	и это	2	37
30	и как	3	36
31	и его	3	34
32	все же	6	33
33	все это	4	32
34	в себе	2	32
35	в ней	4	31
36	в его	3	31
37	он не	3	31
38	для нас	4	31
39	с точки	2	29
40	в нем	6	29
41	и то	2	28
42	в своих	4	27
43	а в	2	27
44	тем что	3	24
45	в своем	3	23
46	целый ряд	4	23
47	и даже	6	22
48	что у	3	22
49	между тем	5	22
50	из них	2	22
51	в своей	2	21
52	в конце	3	21
53	в котором	6	21
54	в то	5	20
55	это не	4	20
56	несмотря на	4	20
57	у него	5	19
58	но в	6	18
59	в виду	4	17
60	одна из	2	17
61	но это	2	17
62	и о	3	17
63	же как	2	16
64	к этому	3	16
65	мы знаем	2	15
66	еще не	2	15
67	далеко не	3	15
68	в них	2	15
69	для него	2	15
70	столь же	2	14
71	с ним	4	14
72	но он	3	14
73	а с	2	13
74	речь идет	3	13
75	отнюдь не	2	13
76	и он	2	13
77	в той	2	13
78	в нашей	2	12
79	их в	2	12
80	в свою	2	12
81	не менее	2	12
82	я не	3	12
83	это в	2	12
84	и уже	3	12
85	об этом	5	12
86	и с	6	12
87	его в	3	11
88	с его	3	11
89	на это	2	11
90	раз в	3	11
91	уже в	4	11
92	не было	5	11
93	но как	2	10
94	и у	3	10
95	по мнению	2	10
96	и ее	2	9
97	о чем	2	9
98	в чем	3	9
99	в него	2	9
100	ответ на	2	9
101	его и	2	9
102	чувств и	2	8
103	и во	3	8
104	наряду с	3	8
105	о нем	6	8
106	место в	2	8
107	во время	2	8
108	связи с	3	7
109	же в	2	7
110	к ним	2	7
111	с которым	2	7
112	отношение к	2	6
113	этот рассказ	2	6
114	его с	2	6
115	рядом с	2	6
116	после этого	2	6
117	так в	2	6
118	в русской	3	6
119	он был	3	6
120	х годов	4	6
121	что есть	3	6
122	что я	2	6
123	уже не	2	6
124	том же	2	5
125	в известном	2	5
126	в одну	2	5
127	не мог	2	5
128	в романе	6	5
129	эти слова	3	5
130	человека в	3	5
131	в эту	2	5
132	чтобы он	3	5
133	отношения к	2	5
134	на место	2	4
135	в глазах	2	4
136	в истории	4	4
137	в это	2	4
138	в связи	3	4
139	т е	3	4
140	в мире	2	4
141	же время	5	4
142	как же	2	3
143	его на	2	3
144	эту сцену	2	3
145	одним из	3	3
146	же не	2	3
147	очень хорошо	2	3
148	имел в	3	3
149	а также	2	3
150	к себе	2	3
151	на первый	2	3
152	в дневнике	4	3
153	о которой	2	3
154	пришел к	2	3
155	тем более	2	3
156	он сам	2	3
157	в этот	3	3
158	я хотел	3	3
159	там же	2	3
160	на основе	2	3
161	и далее	2	2
162	п в	2	2
163	в повести	2	2
164	в те	3	2
165	от сознания	2	2
166	в письме	5	2
167	давно уже	3	2
168	в россии	5	2
169	в начале	6	2
170	страшной мести	3	2
171	о себе	3	2
172	о влиянии	2	2
173	русской литературе	3	2
174	время и	2	2
