N	3gram	Bakhtin_Pr	Istorich
1	с другой стороны	4	46
2	с одной стороны	3	28
3	в том что	3	25
4	не может быть	11	24
5	тем не менее	3	23
6	не только в	2	19
7	в данном случае	4	15
8	по отношению к	19	14
9	но и в	2	12
10	можно было бы	3	10
11	как мы увидим	3	9
12	то же самое	2	8
13	в большинстве случаев	5	7
14	на самом деле	3	5
15	для того чтобы	2	5
16	так и в	2	5
17	со всех сторон	2	5
18	в отличие от	5	5
19	можно сказать что	2	4
20	с точки зрения	6	4
21	мы здесь не	2	4
22	все то что	3	3
23	бы то ни	3	3
24	с другой же	2	3
25	и в области	2	3
26	то ни было	2	3
27	другой же стороны	2	3
28	и тем самым	2	3
29	в иных случаях	3	3
30	в самом деле	3	2
31	и др в	2	2
32	далеко не всегда	3	2
33	не могут быть	2	2
34	и не может	2	2
35	и прежде всего	5	2
36	на первый план	2	2
37	и т п	13	2
38	и в нем	3	2
39	может быть только	3	2
40	мы имеем дело	2	2
