N	2gram	Vinokur_Ku	Dialekti
1	не есть	4	181
2	т е	54	159
3	и не	23	120
4	и т	62	82
5	по себе	10	79
6	а не	17	78
7	и в	44	77
8	т д	21	75
9	точки зрения	25	72
10	может быть	25	71
11	не только	29	66
12	то что	14	59
13	и есть	3	55
14	ничего не	6	54
15	не может	13	53
16	и даже	5	47
17	так как	16	46
18	с точки	16	46
19	есть нечто	2	46
20	что это	11	46
21	потому что	40	45
22	не просто	7	44
23	как бы	11	43
24	ни в	3	42
25	и что	11	42
26	не имеет	6	41
27	вовсе не	18	41
28	в том	47	40
29	что такое	8	39
30	в этом	31	39
31	то же	12	39
32	в себе	4	38
33	это есть	2	38
34	что она	5	38
35	том что	30	37
36	что он	7	37
37	прежде всего	14	37
38	это не	13	36
39	так что	5	36
40	она есть	2	35
41	что в	25	34
42	в нем	7	34
43	и все	4	33
44	того что	11	33
45	но и	13	32
46	все это	10	31
47	ясно что	7	31
48	и как	3	30
49	отнюдь не	5	30
50	сказать что	5	30
51	так и	10	29
52	было бы	28	29
53	как и	3	28
54	никогда не	2	27
55	крайней мере	11	26
56	по крайней	11	26
57	в виду	7	26
58	не в	18	26
59	есть не	2	25
60	и то	7	25
61	и пр	23	25
62	говорить о	5	25
63	учение о	4	25
64	если бы	21	24
65	но это	4	24
66	и вот	4	23
67	в то	4	23
68	это и	6	23
69	что оно	6	23
70	таким образом	17	23
71	но что	3	22
72	я не	5	22
73	что не	10	21
74	должна быть	6	21
75	в чем	2	21
76	в каком	6	20
77	только тогда	4	20
78	что все	6	20
79	только в	15	20
80	как раз	10	20
81	что и	5	20
82	совершенно не	4	20
83	о том	10	20
84	уже не	13	20
85	и с	11	20
86	в таком	3	20
87	в своем	4	19
88	что мы	6	19
89	как это	6	19
90	не менее	12	19
91	и это	3	19
92	тогда когда	7	19
93	в самом	20	19
94	и его	8	19
95	иное как	3	18
96	не что	2	18
97	что иное	2	18
98	что же	11	18
99	с другой	14	18
100	хотя бы	19	18
101	же время	4	18
102	но если	2	17
103	в сущности	11	17
104	можно сказать	6	17
105	должно быть	6	17
106	в особенности	6	17
107	он есть	3	17
108	в своей	4	16
109	кроме того	2	16
110	да и	5	16
111	то это	3	16
112	об этом	4	16
113	тем не	10	16
114	само по	6	16
115	конечно не	3	16
116	и о	3	15
117	только что	2	15
118	также и	7	15
119	но только	5	15
120	как таковой	2	15
121	все же	17	15
122	так же	8	15
123	самом деле	17	15
124	хотя и	7	15
125	и мы	2	15
126	же и	4	15
127	на то	6	15
128	несмотря на	6	15
129	и потому	6	14
130	я уже	2	14
131	д и	3	14
132	с ним	5	14
133	даже и	5	14
134	же это	2	14
135	а именно	4	14
136	не было	6	14
137	и только	2	14
138	и следовательно	2	13
139	в силу	16	13
140	но в	11	13
141	в ней	6	13
142	отличается от	2	13
143	он не	4	13
144	что именно	2	13
145	мы находим	2	13
146	что они	5	13
147	другой стороны	12	13
148	в смысле	2	13
149	вопрос о	11	12
150	могут быть	5	12
151	еще не	10	12
152	все эти	17	12
153	никак не	5	12
154	иной раз	2	12
155	все равно	4	12
156	именно в	7	12
157	и если	4	12
158	перед нами	4	12
159	не могут	5	12
160	но как	2	12
161	а в	7	12
162	тем более	2	12
163	и может	3	12
164	с этим	6	12
165	и тогда	4	12
166	но не	11	12
167	мы должны	2	11
168	нисколько не	6	11
169	быть в	2	11
170	должны быть	4	11
171	мы говорим	4	11
172	от того	5	11
173	и тем	7	11
174	в них	10	11
175	что если	4	11
176	в данном	8	11
177	мы имеем	11	11
178	только то	2	11
179	как только	2	11
180	есть в	6	11
181	не значит	2	11
182	что я	4	11
183	из них	4	11
184	или в	5	11
185	может и	2	10
186	одно из	3	10
187	от этого	4	10
188	к тому	8	10
189	в ее	2	10
190	е в	3	10
