N	2gram	Potebnia_M	Myshleni
1	в том	38	195
2	в этом	18	167
3	то что	24	166
4	и в	58	162
5	том что	21	161
6	в развитии	2	151
7	таким образом	21	147
8	точки зрения	8	143
9	что в	34	119
10	не только	32	116
11	того что	15	109
12	так же	7	100
13	речи и	11	99
14	потому что	89	95
15	того чтобы	4	91
16	может быть	47	89
17	с точки	4	89
18	что он	5	86
19	не может	30	81
20	как и	16	79
21	так как	29	78
22	для того	8	78
23	и не	34	78
24	только в	36	75
25	в целом	3	74
26	как мы	3	72
27	но и	26	70
28	заключается в	3	67
29	в его	7	67
30	сказать что	5	65
31	как бы	12	64
32	вместе с	12	62
33	и что	13	60
34	было бы	21	60
35	то же	13	58
36	могли бы	4	54
37	что мы	11	53
38	в самом	5	52
39	в сущности	2	51
40	мы должны	4	50
41	к тому	5	49
42	что они	6	48
43	мы можем	10	48
44	тем что	15	48
45	мы не	17	47
46	тогда когда	15	47
47	если бы	23	46
48	но не	19	45
49	с другой	13	45
50	по отношению	15	45
51	тем самым	6	43
52	с тем	9	43
53	понятий в	3	43
54	тому что	4	42
55	отношению к	13	42
56	по своей	2	40
57	одной стороны	6	40
58	о том	6	40
59	так и	17	39
60	говорит он	4	39
61	никогда не	7	39
62	с одной	7	39
63	мы видели	5	38
64	вопрос о	5	37
65	не в	23	37
66	если мы	5	37
67	значение слова	2	37
68	в этой	3	37
69	мы видим	5	37
70	в своем	3	36
71	с самого	5	36
72	все эти	3	36
73	и его	7	36
74	самого начала	5	36
75	как в	18	36
76	а не	38	36
77	того же	13	35
78	он не	4	35
79	в которой	5	35
80	в себе	22	35
81	для себя	4	35
82	во внутренней	3	34
83	и как	11	34
84	связи с	6	34
85	при этом	17	33
86	мысли к	2	33
87	прежде всего	8	33
88	по себе	24	33
89	что и	16	32
90	именно в	2	32
91	но в	12	32
92	слова и	7	32
93	той же	3	32
94	и тем	5	32
95	что оно	5	32
96	и на	8	32
97	развития и	3	31
98	и то	4	31
99	из того	3	31
100	все же	11	31
101	мысли и	9	30
102	на то	5	30
103	между тем	7	29
104	могут быть	17	29
105	показывает что	3	29
106	и развития	2	29
107	этого слова	5	29
108	от того	9	29
109	переход от	2	28
110	с этим	11	28
111	самом деле	2	28
112	что с	3	28
113	что все	4	27
114	в своей	3	27
115	только что	4	27
116	с этой	3	27
117	в то	6	27
118	связь между	2	27
119	другой стороны	7	27
120	и с	3	27
121	мысли в	11	26
122	в их	3	26
123	что это	5	26
124	для него	13	26
125	в собственном	4	26
126	собственном смысле	2	26
127	все это	3	25
128	по мере	10	25
129	еще не	9	25
130	уже в	5	25
131	что она	3	25
132	это не	10	25
133	только не	2	25
134	в чем	6	25
135	так что	23	24
136	мы знаем	2	24
137	тот же	5	24
138	в какой	2	24
139	понятия и	3	24
140	в нем	26	24
141	того как	12	24
142	на этот	2	24
143	в слове	21	24
144	оба эти	2	24
145	в смысле	4	24
146	как он	5	23
147	друг друга	6	23
148	бы в	6	23
149	слова в	7	23
150	ни в	2	23
151	этот вопрос	2	23
152	связи между	2	23
153	смысле этого	3	22
154	в известном	2	22
155	во всяком	9	22
156	мыслью и	3	22
157	не могут	10	22
158	столь же	6	22
159	то время	3	22
160	на основании	3	21
161	в истории	8	21
162	отношений между	5	21
163	человеческой речи	6	21
164	и более	3	21
165	в нашем	2	21
166	его в	3	21
167	там где	8	21
168	к этому	3	21
169	и все	6	21
170	между ними	2	21
171	и следовательно	4	21
172	не имеет	9	21
173	с таким	3	21
174	в сознании	8	21
175	в такой	2	20
176	в котором	5	20
177	в виду	2	20
178	и других	6	20
179	речь и	2	20
180	а в	11	20
181	должно быть	9	20
182	время как	2	20
183	к которому	5	20
184	из них	2	20
185	в другом	3	20
186	и их	6	20
187	на вопрос	3	20
188	на этом	3	20
189	не менее	10	20
190	из этих	8	20
191	но мы	3	19
192	об отношении	3	19
193	для других	2	19
194	словом и	2	19
195	в себя	2	19
196	с ним	7	19
197	как на	5	19
198	но если	4	19
199	и по	8	19
200	во всех	12	19
201	один из	2	19
202	в связи	2	19
203	независимо от	15	19
204	от мысли	2	18
205	во всем	5	18
206	слов и	5	18
207	и другое	7	18
208	одного и	6	18
209	чем в	2	18
210	всяком случае	7	18
211	но это	7	18
212	этом смысле	4	18
213	для этого	2	17
214	к другим	3	17
215	мы находим	3	17
216	на деле	6	17
217	сих пор	5	17
218	и для	8	17
219	все что	5	17
220	в своих	4	17
221	в свою	8	17
222	и того	6	17
223	в одном	13	17
224	и от	5	17
225	этой точки	2	17
226	то и	15	17
227	и есть	4	17
228	и только	6	17
229	не есть	13	17
230	в этих	10	17
231	иначе как	2	17
232	их в	2	17
233	тем же	4	17
234	и той	4	17
235	нами в	2	17
236	у него	3	17
237	до сих	5	17
238	языка и	20	16
239	вовсе не	13	16
240	тому как	8	16
241	одной и	4	16
242	по поводу	7	16
243	в мысли	13	16
244	для нас	29	16
245	из основных	2	16
246	к одному	3	16
247	такой же	4	16
248	то в	6	16
249	и даже	4	16
250	видели что	2	16
251	мысль что	6	16
252	в которых	2	16
253	которые не	5	16
254	пути развития	2	16
255	таким же	3	16
256	к мысли	3	15
257	вопрос об	3	15
258	тем более	2	15
259	те же	4	15
260	но как	4	15
261	том же	3	15
262	который мы	2	15
263	между этими	2	15
264	по этому	2	15
265	что если	7	15
266	в начале	2	15
267	от этого	2	15
268	подобно тому	7	15
269	что при	6	15
270	представить себе	3	15
271	хотя бы	4	15
272	как она	3	15
273	ничего не	2	15
274	на все	5	15
275	и это	3	15
276	в них	7	15
277	которое мы	5	15
278	он должен	2	14
279	друг от	3	14
280	только тогда	7	14
281	и во	6	14
282	что для	5	14
283	что у	2	14
284	из этого	2	14
285	когда мы	4	14
286	очевидно что	5	14
287	от слова	4	14
288	в теории	2	14
289	от друга	3	14
290	но что	2	14
291	связанные с	3	14
292	свою очередь	8	14
293	с его	3	14
294	слова к	2	14
295	одним из	2	14
296	не можем	5	14
297	все более	3	13
298	в понятии	2	13
