N	2gram	Propp_Morf	Myslijsy
1	потому что	7	182
2	и в	17	121
3	может быть	61	107
4	в том	10	103
5	то что	10	83
6	для нас	2	75
7	что в	10	73
8	и не	16	73
9	только в	3	72
10	не только	8	67
11	а не	11	67
12	таким образом	26	64
13	том что	7	59
14	так как	20	59
15	в этом	18	59
16	но и	9	59
17	то же	10	56
18	не в	3	54
19	если бы	3	53
20	не может	19	52
21	того что	3	47
22	было бы	5	45
23	как и	4	42
24	мы не	8	38
25	что и	10	38
26	так и	10	37
27	как в	5	37
28	что мы	2	36
29	точно так	2	35
30	тем что	4	33
31	и что	3	32
32	по отношению	7	30
33	а в	8	30
34	но не	8	29
35	между тем	5	29
36	вовсе не	6	28
37	мы можем	5	28
38	для него	2	28
39	могут быть	21	27
40	с этим	14	27
41	и т	62	26
42	независимо от	4	26
43	отношению к	7	26
44	между собою	2	24
45	в то	4	24
46	с тем	2	23
47	от того	4	23
48	того как	2	23
49	как бы	6	23
50	но в	4	22
51	а потому	2	22
52	не имеет	2	22
53	с другой	9	22
54	то это	5	22
55	не менее	7	21
56	в одном	2	20
57	это не	6	20
58	и как	6	19
59	сказать что	4	19
60	что это	3	19
61	из этих	2	19
62	но это	6	19
63	тем не	7	19
64	о том	6	19
65	в каком	2	18
66	для того	3	18
67	еще не	4	18
68	не могут	7	18
69	тогда как	2	18
70	заметить что	11	17
71	со стороны	5	17
72	точки зрения	7	17
73	во всяком	2	17
74	к тому	5	16
75	и наоборот	4	16
76	в которой	3	16
77	только что	3	16
78	так же	4	16
79	или же	7	16
80	есть нечто	3	16
81	на то	3	16
82	и по	3	15
83	т д	60	15
84	в этих	17	15
85	с одной	2	15
86	тому как	5	15
87	и тем	3	15
88	что он	5	15
89	прежде всего	14	15
90	с другими	2	15
91	уже не	4	15
92	мы должны	3	14
93	должны быть	2	14
94	связи с	12	14
95	там где	5	14
96	то в	3	14
97	все же	9	14
98	во всех	6	14
99	например в	2	13
100	из них	4	13
101	и его	3	13
102	от него	2	12
103	друг друга	3	12
104	и при	3	12
105	что же	2	12
106	все это	2	12
107	как мы	8	12
108	что такое	3	12
109	оно не	2	12
110	или менее	2	12
111	в чем	2	12
112	хотя и	5	12
113	другой стороны	5	12
114	более или	2	12
115	всяком случае	2	12
116	того чтобы	4	11
117	в первом	5	11
118	только для	2	11
119	и их	3	11
120	его в	4	11
121	к нему	3	11
122	же в	3	11
123	к ней	3	11
124	подобно тому	6	11
125	и только	3	11
126	а и	3	10
127	одной стороны	2	10
128	том как	2	10
129	быть названо	4	10
130	и для	4	10
131	хотя бы	5	10
132	в других	5	10
133	если же	5	10
134	тем же	2	10
135	тем и	2	10
136	тому что	5	10
137	мы видим	15	10
138	не от	2	10
139	бы в	2	10
140	можно бы	2	10
141	он не	5	10
142	если мы	6	10
143	то время	3	10
144	и есть	3	10
145	что при	3	10
146	в нее	2	9
147	вопрос о	10	9
148	но оно	2	9
149	могли бы	2	9
150	никто не	4	9
151	не все	6	9
152	это было	3	9
153	и даже	2	9
154	на него	4	9
155	далеко не	5	9
156	о происхождении	2	9
157	с точки	6	9
158	самом деле	4	9
159	один из	7	9
160	в целом	5	9
161	во время	6	9
162	можно сказать	2	9
163	что она	2	9
164	на самом	4	8
165	то мы	5	8
166	при помощи	12	8
167	на вопрос	2	8
168	так например	3	8
169	что они	5	8
170	и более	2	8
171	но все	4	8
172	их в	2	8
173	в которых	2	8
174	вслед за	5	8
175	этом случае	10	8
176	и тогда	3	8
177	не так	2	8
178	говорить о	4	8
179	на другие	2	8
180	или в	6	8
181	но мы	3	7
182	она не	2	7
183	во втором	7	7
184	себя и	2	7
185	значение и	3	7
186	или не	3	7
187	все эти	5	7
188	в собственном	3	7
189	и тот	2	7
190	превращается в	2	7
191	с этой	3	7
192	в своих	2	7
193	вряд ли	2	7
194	в таких	3	7
195	но как	3	7
196	образом мы	7	7
197	что именно	2	7
198	не всегда	10	7
199	на котором	4	7
200	самого себя	2	7
201	могла бы	4	7
202	в данном	2	7
203	к этому	4	7
204	не с	2	7
205	не существует	3	7
206	видно что	5	7
207	несмотря на	4	7
208	но если	10	6
209	в один	3	6
210	что ни	2	6
211	увидим что	2	6
212	на его	5	6
213	в образе	6	6
214	должна быть	2	6
215	в этой	3	6
216	у нас	3	6
217	в последнем	3	6
218	прежде чем	5	6
219	главным образом	5	6
220	в лес	7	6
221	и к	4	6
222	но есть	3	6
223	форма в	3	6
224	в виде	3	6
225	в сущности	3	6
226	как например	2	6
227	об этом	5	6
228	от другого	3	6
229	ни было	2	6
230	можно заметить	2	6
231	что его	4	6
232	заметим что	3	6
233	у него	2	6
234	мы уже	4	6
235	или нет	2	5
236	и таким	2	5
237	как же	3	5
238	а с	2	5
239	можно было	4	5
240	они не	3	5
