N	3gram	Tiupa_Hudo	Problemy
1	то же время	7	26
2	в то же	7	26
3	с точки зрения	3	25
4	по отношению к	10	18
5	в этом смысле	3	16
6	не может быть	4	14
7	в отношении к	2	10
8	в самом деле	2	9
9	с другой стороны	6	9
10	в том что	8	8
11	бы то ни	2	7
12	и в то	2	7
13	сама по себе	2	7
14	том что он	2	6
15	в отличие от	7	6
16	то ни было	2	6
17	той или иной	5	5
18	подобно тому как	3	5
19	в той или	2	5
20	и прежде всего	2	4
21	тем не менее	3	4
22	более или менее	6	4
23	может быть и	2	4
24	и то же	3	3
25	одно и то	3	3
26	и в самом	3	3
27	в том и	2	3
28	можно сказать что	3	3
29	этой точки зрения	2	2
30	в слове о	2	2
31	во всей его	2	2
32	к тому что	2	2
33	как бы не	2	2
34	для того чтобы	5	2
35	в значительной степени	2	2
36	в свою очередь	2	2
