N	2gram	Nazirov_Tr	Otkroven
1	у него	6	22
2	у достоевского	5	19
3	и в	18	19
4	но и	4	13
5	и не	7	13
6	в этом	9	12
7	не только	8	11
8	не в	2	11
9	может быть	7	11
10	и все	4	10
11	в нем	4	10
12	вопрос о	2	10
13	никогда не	2	9
14	потому что	2	9
15	прежде всего	4	9
16	и он	3	8
17	он был	2	8
18	ивана карамазова	2	7
19	в его	3	7
20	до конца	2	7
21	он не	2	7
22	он всегда	4	7
23	как и	5	6
24	человеческой личности	2	6
25	все это	4	6
26	для него	3	5
27	для достоевского	2	5
28	в том	2	5
29	о его	2	5
30	в самом	2	5
31	то что	4	5
32	в этой	4	5
33	отношение к	2	5
34	и его	6	4
35	достоевский не	4	4
36	что в	4	4
37	он сам	7	4
38	все эти	3	4
39	в самую	2	4
40	не может	5	4
41	в преступлении	2	4
42	с его	2	4
43	в себе	4	3
44	о том	2	3
45	романах достоевского	2	3
46	это не	5	3
47	к нему	3	3
48	не могут	2	3
49	что он	6	3
50	записках из	3	3
51	достоевского в	3	3
52	и наказании	2	3
53	еще не	4	3
54	и ее	2	3
55	и великий	2	3
56	в записках	2	3
57	в бесах	9	3
58	никто не	3	3
59	как бы	7	3
60	с ним	3	3
61	преступлении и	2	3
62	и то	2	2
63	и на	7	2
64	что достоевский	4	2
65	с тем	2	2
66	уже в	3	2
67	что все	2	2
68	не имеет	2	2
69	зла в	2	2
70	ничего не	2	2
71	и с	7	2
72	что и	2	2
73	в ее	2	2
74	в своем	3	2
75	тем что	2	2
76	но в	6	2
77	том что	4	2
78	все же	5	2
79	так что	2	2
80	должно быть	3	2
81	в душе	2	2
82	мертвого дома	2	2
83	так и	5	2
84	личности и	2	2
85	из мертвого	2	2
86	его в	2	2
