N	3gram	Vygotskiy_	slovoVRo
1	не может быть	8	19
2	в то же	2	18
3	то же время	2	18
4	той или иной	2	15
5	с точки зрения	34	15
6	в отличие от	3	14
7	с одной стороны	14	11
8	во всяком случае	5	8
9	в зависимости от	8	8
10	в значительной степени	2	7
11	с другой стороны	10	6
12	между словом и	2	5
13	в том что	30	5
14	в этом отношении	6	5
15	как мы уже	4	5
16	по отношению к	11	5
17	одной стороны и	3	4
18	на первый план	3	4
19	для того чтобы	19	4
20	друг с другом	6	4
21	до сих пор	4	4
22	можно сказать что	5	4
23	в свою очередь	3	4
24	одно и то	2	3
25	по ту сторону	2	3
26	к тому что	3	3
27	и то же	2	3
28	как и в	2	3
29	в собственном смысле	8	3
30	между этими двумя	2	3
31	в данном случае	5	3
32	в связи с	3	3
33	сама по себе	3	3
34	как если бы	3	3
35	и в частности	3	2
36	не только не	2	2
37	мы не можем	3	2
38	же как и	4	2
39	тем и другим	2	2
40	мы уже говорили	3	2
41	о том что	10	2
42	или во всяком	2	2
43	можно было бы	6	2
44	мышления и речи	34	2
45	на протяжении всего	2	2
46	в то время	5	2
47	в известном смысле	3	2
48	с самого начала	9	2
49	этой точки зрения	2	2
50	то время как	4	2
51	как уже сказано	8	2
52	на каждом шагу	2	2
