N	2gram	Bakhtin_Pr	UchenyiS
1	и в	64	14
2	не только	26	10
3	а не	29	10
4	и не	55	8
5	прежде всего	16	8
6	то что	21	7
7	не может	26	7
8	в этом	33	7
9	может быть	43	6
10	перестает быть	4	5
11	и только	3	5
12	то же	18	5
13	художественного творчества	5	5
14	хотя бы	4	5
15	все это	9	5
16	в художественном	6	5
17	но и	26	4
18	в этой	5	4
19	что такое	2	4
20	с другой	7	4
21	в россии	2	4
22	в их	6	4
23	конечно не	4	4
24	не о	3	3
25	у нас	3	3
26	для этого	3	3
27	это не	12	3
28	в своей	11	3
29	все же	11	3
30	не как	20	3
31	как и	25	3
32	в то	15	3
33	но в	14	3
34	же время	13	3
35	к сожалению	2	3
36	ни было	4	3
37	было бы	8	3
38	бы то	3	3
39	то ни	3	3
40	другой стороны	6	3
41	для него	23	3
42	в самом	17	2
43	в себе	11	2
44	и у	3	2
45	мы и	2	2
46	же не	4	2
47	является в	2	2
48	что он	15	2
49	крайней мере	2	2
50	таким образом	15	2
51	но не	12	2
52	и для	7	2
53	если бы	12	2
54	их и	2	2
55	между тем	7	2
56	самом деле	10	2
57	только в	13	2
58	одним из	7	2
59	этом смысле	12	2
60	художественном творчестве	3	2
61	а его	2	2
62	и является	2	2
63	не есть	4	2
64	что она	7	2
65	ничего не	8	2
66	всех этих	2	2
67	и с	9	2
68	должна была	4	2
69	что и	7	2
70	по крайней	2	2
71	могут быть	9	2
72	а между	2	2
73	меньшей степени	2	2
74	не могут	10	2
75	превращается в	5	2
76	сих пор	9	2
77	по себе	16	2
78	тем что	6	2
79	том что	8	2
80	а как	11	2
81	в сторону	2	2
82	в его	30	2
83	все они	2	2
84	в том	12	2
85	что все	2	2
86	этом отношении	3	2
87	как таковой	2	2
88	художественного произведения	2	2
89	с его	11	2
90	как раз	9	2
91	должна быть	8	2
92	представляется нам	2	2
93	конце концов	7	2
94	его и	3	2
95	но это	6	2
96	по существу	6	2
97	установку на	2	2
98	не в	15	2
99	художественного задания	3	2
100	бы и	6	2
101	в конце	8	2
102	мы не	4	2
103	наконец он	2	2
104	до сих	9	2
105	могли бы	2	2
106	именно как	2	2
