N	3gram	Berdyaev_M	Vvedenie
1	для того чтобы	4	22
2	в том что	3	15
3	о том что	3	13
4	но также и	2	10
5	не может быть	22	10
6	до сих пор	5	7
7	не что иное	4	5
8	что иное как	4	5
9	не только в	2	4
10	по отношению к	4	4
11	по сравнению с	2	4
12	вместе с тем	5	3
13	есть не что	3	3
14	также и в	2	3
15	и в самом	3	3
16	с тем что	3	3
17	одной и той	2	2
18	и той же	2	2
19	подобно тому как	2	2
20	уже не только	2	2
21	как будто бы	2	2
22	в конце концов	3	2
23	потому что он	3	2
24	может быть и	2	2
25	после того как	2	2
26	хотя бы и	2	2
27	не до конца	2	2
28	по своему значению	3	2
29	не могут быть	2	2
