N	2gram	Losev_Dial	Literetu
1	а не	24	50
2	и не	51	47
3	не только	26	46
4	и в	35	44
5	может быть	30	43
6	при этом	2	41
7	но и	17	41
8	в том	20	39
9	в этом	18	38
10	том что	18	32
11	в частности	4	30
12	то что	25	29
13	в мире	3	28
14	в качестве	2	27
15	то же	21	26
16	как и	10	23
17	в то	10	23
18	не в	12	22
19	так и	18	22
20	того что	6	22
21	себя в	2	22
22	не может	16	22
23	я и	3	21
24	же время	9	21
25	в себе	23	20
26	прежде всего	14	19
27	я в	3	19
28	как бы	19	18
29	точки зрения	25	17
30	в его	4	17
31	с другой	10	17
32	в этой	3	16
33	в жизни	3	16
34	со стороны	2	15
35	не менее	5	15
36	я не	9	15
37	только в	7	15
38	что он	16	14
39	и даже	23	14
40	в своем	7	13
41	как это	8	13
42	с одной	4	13
43	но не	9	13
44	уже не	3	13
45	и его	6	13
46	в данном	5	12
47	в своей	9	12
48	еще не	4	12
49	о том	8	12
50	одной стороны	3	12
51	никогда не	18	11
52	это не	18	11
53	в другом	6	11
54	еще в	2	11
55	как в	3	11
56	а в	8	11
57	или иначе	3	11
58	в основе	4	11
59	вместе с	3	11
60	даже в	6	10
61	этом отношении	2	10
62	в области	2	10
63	что в	19	10
64	так или	3	10
65	отнюдь не	13	10
66	в ее	3	10
67	из них	5	10
68	потому что	23	10
69	жизни и	9	10
70	одно из	2	9
71	к тому	6	9
72	один из	3	9
73	в поэзии	8	9
74	же в	2	9
75	связи с	3	9
76	с этой	3	9
77	что я	5	9
78	вплоть до	3	8
79	в конце	5	8
80	быть может	5	8
81	все же	9	8
82	в искусстве	2	8
83	по существу	2	8
84	но в	8	8
85	уже в	5	8
86	что не	13	8
87	для него	2	8
88	и я	3	8
89	и как	14	8
90	субъекта и	4	8
91	а именно	3	8
92	тем что	2	8
93	с точки	18	8
94	как раз	7	8
95	из того	2	7
96	в их	5	7
97	не как	4	7
98	по своей	5	7
99	и тем	2	7
100	это как	3	7
101	для этого	2	7
102	другой стороны	7	7
103	в противоположность	6	7
104	и для	2	7
105	именно в	4	7
106	в самом	6	7
107	и с	10	7
108	в одном	4	7
109	он и	2	7
110	личности в	2	7
111	в нем	25	7
112	и жизни	4	7
113	он не	5	7
114	тому же	3	7
115	в сфере	2	7
116	еще и	4	6
117	его в	3	6
118	в виду	9	6
119	самом деле	6	6
120	и он	6	6
121	и др	2	6
122	было бы	14	6
123	не было	7	6
124	например в	2	6
125	поэзии и	4	6
126	и то	15	6
127	то в	8	6
128	то и	3	6
129	во всех	3	6
130	в каждом	4	6
131	как о	2	6
132	далеко не	2	6
133	в ней	4	6
134	перед лицом	2	6
135	и только	5	6
136	у него	2	6
137	как будто	7	6
138	тем же	3	6
139	или иной	4	5
140	вслед за	2	5
141	так как	24	5
142	как он	5	5
143	так что	21	5
144	он сам	6	5
145	не знает	2	5
146	как я	3	5
147	между тем	3	5
148	несмотря на	12	5
149	этой точки	2	5
150	что и	7	5
151	тех кто	2	5
152	в сущности	2	5
153	в связи	3	5
154	хотя бы	6	5
155	должно быть	7	5
156	на свете	5	5
157	тем не	3	5
158	а я	3	5
159	ни было	2	5
160	в силу	6	5
161	как у	3	5
162	не с	5	5
163	но уже	3	5
164	и если	5	5
165	и к	8	5
166	не к	2	5
167	но с	4	5
168	себе и	5	4
169	нуждается в	6	4
170	не является	3	4
171	но без	3	4
172	все время	4	4
173	не всегда	2	4
174	здесь как	2	4
175	только на	3	4
176	объекта и	2	4
177	с тем	2	4
178	общего с	6	4
179	для своего	3	4
180	со всей	2	4
181	и все	11	4
182	а потому	3	4
183	могут быть	6	4
184	по этой	2	4
185	в них	4	4
186	не бывает	2	4
187	хотя и	4	4
188	как мы	5	4
189	во всяком	5	4
190	то это	6	4
191	но это	12	4
192	за пределы	4	4
193	к этому	2	4
194	но лишь	4	4
195	и вот	10	4
196	от самого	3	4
197	для того	2	4
198	совершенно не	13	4
199	такой же	2	4
200	со всеми	2	4
201	ни к	2	4
202	не должен	2	4
203	то он	2	4
204	все они	2	4
205	можно сказать	10	4
206	на то	5	4
207	на этом	4	4
208	не могу	9	4
209	ко всему	3	4
210	вовсе не	19	4
211	из этого	2	4
212	и что	17	4
213	у тютчева	5	4
214	таким образом	5	4
215	и есть	20	4
216	силу своей	2	4
217	отношения к	3	4
218	и нет	2	4
219	на самом	5	3
220	вопрос о	3	3
221	ничего не	19	3
222	имеется в	3	3
223	и потому	6	3
224	от всего	2	3
225	в москве	2	3
226	так же	6	3
227	но как	7	3
228	с чем	2	3
229	о чем	4	3
230	по себе	39	3
231	тех пор	2	3
232	крайней мере	11	3
233	в отношении	5	3
234	не раз	2	3
235	еще на	3	3
236	отношение к	5	3
237	есть не	8	3
238	т п	3	3
239	сознания на	2	3
240	а с	2	3
241	и о	4	3
242	в душе	8	3
243	стороны и	4	3
244	в сознании	3	3
245	это уже	2	3
246	они не	3	3
247	но только	6	3
248	той или	11	3
249	времени в	2	3
250	что же	5	3
251	речь идет	2	3
252	же как	3	3
253	и до	2	3
254	все эти	4	3
255	и тогда	4	3
256	во время	2	3
257	должна быть	5	3
258	и т	31	3
259	и еще	4	3
260	ее в	2	3
261	на нее	2	3
262	да и	11	3
263	относится к	2	3
264	если в	5	3
265	и от	5	3
266	взгляд на	3	3
267	я был	3	3
268	как например	2	3
269	только то	7	3
270	его личности	2	3
271	же это	6	3
272	можно было	5	3
273	сознания и	8	3
274	бы и	4	3
275	с их	2	3
276	с ней	2	3
277	о своем	2	3
278	мысли и	3	3
279	мы сами	2	3
280	которая не	2	3
281	мысль о	2	3
282	если бы	12	3
283	превращается в	2	3
284	также и	7	3
285	в особенности	6	3
286	в этих	6	3
287	все равно	7	3
288	себе не	7	3
289	обратим внимание	2	3
290	не по	2	3
291	и состоит	2	3
292	по крайней	11	3
293	отношении к	3	3
294	она и	2	3
295	в какой	3	3
296	не будучи	3	3
297	что для	3	3
298	ни с	8	3
299	не имеет	15	3
300	и является	2	3
301	в чем	9	3
302	что такое	13	3
303	когда он	2	3
304	не есть	67	3
305	себе как	3	3
306	всяком случае	3	3
307	все что	2	3
308	творчества как	2	3
309	мы в	2	3
310	и уже	4	3
311	говорить о	9	3
312	не просто	19	3
313	ничего общего	4	3
314	же самое	3	3
315	же и	11	3
316	мира и	2	3
317	с ним	9	3
318	мы и	3	3
319	можно указать	2	2
320	первый взгляд	2	2
321	чтобы не	6	2
322	перед нами	3	2
323	с тех	2	2
324	я по	3	2
325	к свету	3	2
326	для меня	5	2
327	от него	4	2
328	для нее	2	2
329	еще раз	2	2
330	это будет	2	2
331	человека и	2	2
332	и притом	7	2
333	того кто	2	2
334	и где	5	2
335	и поэзии	4	2
336	не был	3	2
337	и у	2	2
338	есть и	11	2
339	должен быть	2	2
340	а лишь	3	2
341	и вместе	2	2
342	во мне	5	2
343	а он	4	2
344	ведь это	3	2
345	это и	6	2
346	об отношении	6	2
347	не остается	2	2
348	отличное от	2	2
349	у них	3	2
350	и при	3	2
351	не зная	2	2
352	мире и	3	2
353	была бы	4	2
354	быть в	5	2
355	его не	7	2
356	стремится к	2	2
357	к его	2	2
358	чего и	2	2
359	собственно говоря	5	2
360	в него	2	2
361	что касается	3	2
362	тому что	4	2
363	к нему	12	2
364	она не	10	2
365	искусство и	2	2
366	в общем	2	2
367	гораздо более	3	2
368	а только	5	2
369	но мы	3	2
370	и об	4	2
371	своей собственной	2	2
372	от всякой	2	2
373	даже и	3	2
374	пока не	2	2
