N	2gram	Tiupa_Lite	Vladivir
1	вл соловьева	2	559
2	и в	26	116
3	то что	14	71
4	и не	19	67
5	в году	18	65
6	не только	29	65
7	у него	5	65
8	в этом	19	53
9	в том	22	52
10	том что	19	51
11	что в	7	48
12	но и	25	47
13	в конце	6	41
14	в его	9	40
15	и с	4	39
16	то есть	11	37
17	и даже	9	36
18	также и	3	36
19	так что	4	35
20	потому что	5	33
21	еще и	3	32
22	что он	8	32
23	не может	10	31
24	о том	3	30
25	только в	8	30
26	никогда не	5	29
27	как мы	2	29
28	для него	6	29
29	вовсе не	3	27
30	а в	5	27
31	не было	5	26
32	в то	12	25
33	но в	5	25
34	в себе	8	25
35	и то	3	25
36	а к	2	25
37	и его	7	25
38	даже и	2	24
39	а также	5	24
40	точки зрения	8	23
41	может быть	24	23
42	он не	4	23
43	так как	2	22
44	в своей	5	21
45	вместе с	5	21
46	в своем	12	20
47	прежде всего	14	20
48	для нас	3	20
49	и что	2	20
50	так и	7	19
51	не менее	11	19
52	как раз	6	19
53	по поводу	2	19
54	таким образом	4	19
55	тем не	4	19
56	не в	11	18
57	как это	9	18
58	как и	13	18
59	с его	5	18
60	не мог	3	18
61	едва ли	5	17
62	что и	3	17
63	в этой	7	17
64	то это	2	17
65	у нас	5	17
66	а не	28	17
67	уже не	9	16
68	все же	6	16
69	того что	7	16
70	было бы	4	16
71	к тому	3	16
72	для себя	6	16
73	не есть	2	16
74	до конца	3	15
75	в связи	4	15
76	под названием	3	15
77	но это	2	15
78	к этому	2	15
79	несмотря на	3	15
80	то же	13	15
81	в своих	5	15
82	в москве	2	14
83	того же	5	14
84	уже в	7	14
85	все эти	2	14
86	и как	2	14
87	и на	5	14
88	раз и	2	14
89	с тем	2	13
90	да и	3	13
91	в результате	2	13
92	дело в	3	13
93	не просто	2	13
94	жизни и	6	13
95	только на	3	12
96	ничего не	3	12
97	в нем	4	12
98	связи с	7	12
99	во всяком	3	12
100	то в	3	12
101	всяком случае	2	12
102	в отношении	2	11
103	еще в	7	11
104	я не	8	11
105	при этом	23	11
106	никак не	2	11
107	в данном	7	11
108	хотя бы	3	11
109	него в	2	11
110	то он	3	11
111	на то	2	11
112	тому же	2	11
113	даже в	6	10
114	такого рода	18	10
115	в ней	4	10
116	что его	3	10
117	в качестве	21	10
118	в россии	2	10
119	можно было	3	10
120	еще не	4	10
121	но не	8	10
122	что для	2	10
123	в самом	4	10
124	отнюдь не	4	10
125	он и	5	10
126	с точки	4	10
127	с ним	2	10
128	это не	4	9
129	но как	3	9
130	а с	2	9
131	а только	2	9
132	в целом	10	9
133	в начале	4	9
134	по существу	4	9
135	и сам	6	9
136	с другой	11	9
137	из этого	2	9
138	же время	12	9
139	не столько	8	8
140	xix века	6	8
141	в чем	2	8
142	себя в	7	8
143	как бы	8	8
144	из этих	2	8
145	и он	3	8
146	тем что	6	8
147	и я	7	8
148	с этой	6	8
149	в этих	2	8
150	как в	5	8
151	со стороны	6	8
152	но даже	2	7
153	как он	2	7
154	не имеет	2	7
155	к этой	2	7
156	себе и	2	7
157	на первом	2	7
158	по этому	2	7
159	же в	6	7
160	из его	2	7
161	и мы	2	7
162	то и	5	7
163	за пределы	3	7
164	и вот	2	7
165	ничего общего	2	7
166	в одном	2	7
167	и есть	3	7
168	в нашем	2	7
169	нам представляется	3	7
170	данном случае	6	6
171	его в	4	6
172	на себя	4	6
173	в отличие	6	6
174	есть не	2	6
175	и всегда	2	6
176	том же	3	6
177	к своему	2	6
178	в виду	4	6
179	отличие от	6	6
180	так или	8	6
181	не говоря	3	6
182	то как	2	6
183	свидетельствует о	3	6
184	другой стороны	5	6
185	тем более	2	6
186	не раз	2	6
187	в сравнении	2	6
188	и вполне	3	6
189	и наконец	2	6
190	для того	2	6
191	же и	3	6
192	такой же	3	6
193	но только	3	6
194	мы не	5	6
195	не с	2	6
196	в жизни	7	6
197	или иначе	9	6
198	той же	5	6
199	ко всему	4	6
200	по своей	3	6
201	он сам	2	6
202	поскольку в	3	6
203	а вот	2	5
204	друг друга	5	5
205	и прежде	4	5
206	тех кто	3	5
207	и тем	4	5
208	в их	3	5
209	в частности	18	5
210	для своего	2	5
211	а то	2	5
212	этого не	2	5
213	и за	2	5
214	один из	7	5
215	говоря уже	3	5
216	однако и	2	5
217	в области	5	5
218	сводится к	4	5
219	все то	2	5
220	мы имеем	2	5
221	только то	3	5
222	нет ничего	2	5
223	во всех	4	5
224	по преимуществу	6	5
225	со своим	2	5
226	сравнении с	2	5
227	жизни в	5	5
228	что я	4	5
229	но уже	2	5
230	далеко не	4	5
231	в свою	2	5
232	из них	5	5
233	со своей	3	5
234	и весьма	2	5
235	и только	4	5
236	как на	3	5
237	не к	3	5
238	всех своих	3	4
239	тем самым	8	4
240	для нее	2	4
241	крайней мере	2	4
242	вплоть до	4	4
243	человека и	2	4
244	как к	4	4
245	на свою	3	4
246	и других	4	4
247	мы с	3	4
248	одной из	2	4
249	бы на	2	4
250	и т	2	4
251	он говорит	2	4
252	в трактате	2	4
253	так в	6	4
254	уже о	2	4
255	одной стороны	8	4
256	себя и	3	4
257	в сущности	5	4
258	всю жизнь	2	4
259	но зато	2	4
260	тех же	3	4
261	же это	3	4
262	во второй	2	4
263	себе в	3	4
264	в статье	2	4
265	лишь в	4	4
266	в особенности	2	4
267	этом отношении	5	4
268	не на	2	4
269	если оно	2	4
270	по крайней	2	4
271	с одной	9	4
272	всей своей	2	4
273	я в	12	4
274	поскольку он	2	4
275	на этом	3	4
276	ему в	2	4
277	о которой	2	4
278	но с	3	4
279	не любил	2	3
280	можно и	2	3
281	от него	2	3
282	именно так	3	3
283	не как	4	3
284	в другом	3	3
285	свою очередь	2	3
286	в силу	4	3
287	наконец в	2	3
288	было у	2	3
289	который в	2	3
290	в стихотворении	17	3
291	роль в	2	3
292	казалось бы	6	3
293	от своего	3	3
294	самом деле	2	3
295	я вижу	2	3
296	для понимания	2	3
297	общего с	3	3
298	тех пор	2	3
299	а если	2	3
300	которая в	3	3
301	пока не	2	3
302	что не	3	3
303	а скорее	2	3
304	для них	2	3
305	и др	4	3
306	же как	3	3
307	при всем	4	3
308	и самого	2	3
309	все еще	2	3
310	том числе	2	3
311	самого себя	3	3
312	и выше	2	3
313	произведения как	2	3
314	во многих	3	3
315	в литературе	2	3
316	дело не	2	3
317	в противоположность	2	3
318	с их	3	3
319	о своем	3	3
320	мы сами	2	3
321	сам же	2	3
322	субъекта и	3	3
323	я и	10	3
324	во имя	3	3
325	одним из	8	3
326	себе не	2	3
327	отношении к	2	3
328	не могло	3	3
329	что есть	2	3
330	в мире	9	3
331	а за	3	3
332	мир и	2	3
333	что такое	2	3
334	на почве	2	3
335	все что	3	3
336	в какой	2	3
337	а по	2	3
338	и м	2	3
339	к жизни	2	3
340	он на	2	3
341	как будто	2	3
342	человека в	5	2
343	в действительности	2	2
344	у достоевского	2	2
345	путь к	2	2
