N	2gram	Vygotskiy_	NovoeSre
1	а не	14	17
2	и в	33	16
3	не может	31	16
4	и не	18	11
5	и есть	8	10
6	что в	33	9
7	жизни и	2	8
8	в том	44	8
9	он не	13	8
10	может быть	15	7
11	как и	13	7
12	в новой	5	7
13	в этом	43	7
14	это есть	5	7
15	никогда не	10	6
16	в высшей	3	6
17	не в	10	6
18	высшей степени	3	6
19	не знает	6	6
20	но это	4	6
21	с его	3	6
22	не только	28	5
23	в жизни	2	5
24	все это	2	5
25	в нем	10	5
26	в ней	2	5
27	и к	7	5
28	должно быть	10	4
29	по своему	4	4
30	в них	3	4
31	и для	3	4
32	не имеет	7	4
33	прежде всего	5	4
34	не менее	4	4
35	и потому	3	4
36	то что	48	4
37	о том	13	4
38	это не	8	4
39	потому что	40	4
40	и все	2	4
41	значит что	6	4
42	тому как	6	3
43	в прошлом	2	3
44	но и	14	3
45	к жизни	7	3
46	подобно тому	6	3
47	с другой	11	3
48	она не	2	3
49	к тому	14	3
50	что такое	6	3
51	в своей	5	3
52	еще не	11	3
53	к ним	2	3
54	в истории	3	3
55	перейти к	4	3
56	должна быть	7	3
57	как в	7	3
58	не есть	4	3
59	за пределы	4	3
60	сказать что	18	3
61	во всех	3	3
62	вопрос о	15	3
63	наряду с	3	3
64	не означает	5	3
65	в основе	12	3
66	с тем	9	3
67	время как	4	2
68	зависит от	4	2
69	в себе	4	2
70	что она	3	2
71	как будто	2	2
72	и с	7	2
73	том чтобы	3	2
74	для этого	3	2
75	себя в	4	2
76	но не	13	2
77	и т.п	2	2
78	что все	9	2
79	и от	2	2
80	того чтобы	26	2
81	и это	3	2
82	хотя бы	5	2
83	и заключается	2	2
84	когда мы	4	2
85	же как	9	2
86	а в	5	2
87	все время	3	2
88	но в	9	2
89	том что	41	2
90	мысли в	5	2
91	и на	11	2
92	с этим	9	2
93	есть в	2	2
94	и что	18	2
95	все эти	9	2
96	мы не	6	2
97	к самой	2	2
98	на протяжении	2	2
99	в смысле	3	2
100	вот почему	3	2
101	не имеют	4	2
102	можно было	11	2
103	это и	3	2
104	переходе от	3	2
105	у него	8	2
106	от всякого	2	2
107	по существу	5	2
108	с их	4	2
109	как это	11	2
110	другой стороны	9	2
111	самый процесс	3	2
112	так же	22	2
113	так и	8	2
114	могут быть	7	2
115	но для	3	2
116	одной стороны	10	2
117	такой же	4	2
118	быть в	3	2
119	в то	5	2
120	который в	2	2
121	связана с	2	2
122	мысли и	7	2
123	мы говорим	4	2
124	этом смысле	5	2
125	с одной	10	2
126	переход к	3	2
127	место в	2	2
128	и даже	3	2
129	в центре	2	2
130	вместе с	9	2
131	я не	6	2
