N	2gram	Voloshinov	Vladivir
1	и в	42	116
2	то что	9	71
3	и не	14	67
4	не только	28	65
5	в этом	10	53
6	в том	3	52
7	том что	3	51
8	но и	16	47
9	в конце	6	41
10	в его	6	40
11	и с	5	39
12	то есть	5	37
13	сказать что	3	36
14	и даже	3	36
15	также и	2	36
16	потому что	7	33
17	еще и	2	32
18	что он	2	32
19	не может	13	31
20	о том	4	30
21	только в	7	30
22	никогда не	7	29
23	как мы	10	29
24	для него	3	29
25	вовсе не	2	27
26	а в	5	27
27	не было	2	26
28	в то	9	25
29	но в	5	25
30	в себе	10	25
31	и то	5	25
32	а к	3	25
33	и его	7	25
34	даже и	2	24
35	точки зрения	11	23
36	может быть	13	23
37	он не	2	23
38	что же	8	23
39	так как	8	22
40	кроме того	2	22
41	об этом	3	22
42	в своей	2	21
43	вместе с	5	21
44	прежде всего	22	20
45	для нас	3	20
46	и потому	2	19
47	и вообще	2	19
48	так и	7	19
49	в дальнейшем	2	19
50	таким образом	8	19
51	не в	6	18
52	как это	5	18
53	как и	12	18
54	хотя и	3	18
55	с его	8	18
56	не мог	3	18
57	что и	3	17
58	в этой	6	17
59	у нас	4	17
60	а не	7	17
61	уже не	4	16
62	все же	9	16
63	того что	4	16
64	было бы	7	16
65	к тому	4	16
66	и все	4	16
67	в котором	3	16
68	не есть	2	16
69	до конца	2	15
70	в связи	2	15
71	но это	2	15
72	к этому	2	15
73	несмотря на	3	15
74	то же	16	15
75	в своих	2	15
76	и к	4	15
77	уже в	5	14
78	все эти	3	14
79	и как	10	14
80	и на	7	14
81	мы уже	11	14
82	так же	4	13
83	с тем	8	13
84	можно сказать	4	13
85	да и	4	13
86	и от	7	13
87	что это	4	13
88	не просто	4	13
89	жизни и	3	13
90	на этот	2	13
91	только на	3	12
92	ничего не	8	12
93	в нем	6	12
94	связи с	3	12
95	и это	8	12
96	если не	3	12
97	в отношении	2	11
98	мы должны	10	11
99	при этом	9	11
100	все это	4	11
101	хотя бы	18	11
102	в которой	7	11
103	и здесь	3	11
104	то он	3	11
105	но что	3	11
106	конце концов	3	11
107	тому же	2	11
108	к нему	2	10
109	в ней	8	10
110	в качестве	4	10
111	можно было	4	10
112	еще не	3	10
113	но не	2	10
114	в самом	5	10
115	отнюдь не	10	10
116	с точки	5	10
117	здесь не	2	10
118	с ним	2	10
119	это не	3	9
120	но как	2	9
121	о чем	2	9
122	а с	5	9
123	своей жизни	5	9
124	в целом	4	9
125	в начале	3	9
126	с этим	2	9
127	и сам	2	9
128	не будет	3	9
129	что мы	11	9
130	же время	7	9
131	отношения к	3	9
132	мы будем	6	9
133	отношение к	2	8
134	себя в	4	8
135	как бы	30	8
136	тот же	2	8
137	из этих	2	8
138	и он	2	8
139	должно быть	2	8
140	тем что	2	8
141	в этих	2	8
142	как в	3	8
143	и для	3	8
144	конечно не	3	8
145	в каком	2	7
146	другими словами	7	7
147	но даже	2	7
148	и ни	2	7
149	себе и	2	7
150	на его	6	7
151	того чтобы	7	7
152	здесь мы	3	7
153	но вот	3	7
154	бы и	2	7
155	мы видели	5	7
156	если бы	4	7
157	и вот	3	7
158	или как	6	7
159	но все	5	7
160	в одном	4	7
161	на первый	2	7
162	в нашем	5	7
163	его в	4	6
164	те же	5	6
165	само собой	4	6
166	от того	3	6
167	есть не	2	6
168	том же	2	6
169	к своему	4	6
170	в виду	3	6
171	тому что	5	6
172	не говоря	2	6
173	был и	2	6
174	по своему	3	6
175	на него	4	6
176	и наконец	5	6
177	для того	9	6
178	мы не	9	6
179	не с	3	6
180	в жизни	2	6
181	почему же	2	6
182	если мы	4	6
183	той же	7	6
184	главным образом	3	6
185	по своей	2	6
186	но мы	2	5
187	на эту	2	5
188	собой разумеется	2	5
189	вопрос о	2	5
190	друг друга	2	5
191	и тем	7	5
192	в их	2	5
193	в частности	3	5
194	эти три	2	5
195	с самого	4	5
196	заметить что	3	5
197	и без	4	5
198	один из	4	5
199	место в	2	5
200	как нечто	2	5
201	в области	6	5
202	и больше	2	5
203	все то	2	5
204	мы имеем	2	5
205	нет ничего	2	5
206	во всех	6	5
207	которой мы	4	5
208	и так	6	5
209	будем говорить	3	5
210	что у	3	5
211	еще более	2	5
212	в свою	6	5
213	из них	3	5
214	не к	4	5
215	всех своих	4	4
216	на самом	3	4
217	перед нами	3	4
218	тем самым	8	4
219	в тех	3	4
220	человека и	2	4
221	но для	3	4
222	ясно что	2	4
223	иное как	2	4
224	не что	4	4
225	то мы	3	4
226	совершенно не	3	4
227	у них	3	4
228	одной из	2	4
229	он говорит	2	4
230	ведь если	3	4
231	что иное	2	4
232	когда мы	6	4
233	как например	2	4
234	и эта	3	4
235	независимо от	5	4
236	с ней	2	4
237	не так	3	4
238	мы можем	7	4
239	во второй	3	4
240	себе в	2	4
241	мы увидим	5	4
242	лишь в	4	4
243	ни к	2	4
244	этом отношении	2	4
245	и всего	2	4
246	в нас	2	4
247	нет и	3	4
248	их в	3	4
249	же самое	5	4
250	у которого	5	4
251	как с	2	4
252	так сказать	4	3
253	которые в	2	3
254	в будущем	3	3
255	бы мы	3	3
256	свою очередь	4	3
257	роль в	3	3
258	но эта	2	3
259	между ними	3	3
