N	3gram	Propp_Isto	RusskieA
1	в том что	8	49
2	состоит в том	2	29
3	и т д	30	21
4	тем не менее	6	14
5	д к зеленин	5	13
6	в этом случае	8	12
7	о том что	3	10
8	том что в	2	9
9	и в других	3	9
10	в данном случае	6	8
11	подобно тому как	3	8
12	т е в	2	7
13	как мы увидим	2	7
14	как мы видели	7	6
15	не может быть	4	6
16	после того как	3	6
17	так же как	7	6
18	в связи с	5	5
19	мы видели что	6	5
20	не что иное	6	4
21	во всяком случае	2	4
22	в то время	2	4
23	можно было бы	2	4
24	мы не будем	2	4
25	что иное как	6	4
26	к этому же	2	4
27	в этих случаях	13	4
28	же как и	3	3
29	по отношению к	2	3
30	в лесу или	2	3
31	здесь мы имеем	3	3
32	до сих пор	7	3
33	мы уже видели	3	3
34	на то что	4	3
35	мы имеем не	2	2
36	это не совсем	2	2
37	мы уже знаем	3	2
38	тех случаях когда	2	2
39	в тех случаях	2	2
40	можно сказать что	2	2
41	в большинстве случаев	2	2
42	мы увидим ниже	3	2
43	но тем не	2	2
44	как и в	2	2
45	приведем несколько примеров	3	2
46	в лесу в	2	2
47	не только в	3	2
48	друг с другом	2	2
49	с одной стороны	2	2
50	мы увидим что	2	2
51	не будем здесь	2	2
52	в других случаях	2	2
53	с другой стороны	10	2
54	это еще не	2	2
55	выше мы видели	5	2
56	но все же	5	2
