N	3gram	Vygotskiy_	VerxiiNi
1	вместе с тем	5	8
2	с одной стороны	14	7
3	с точки зрения	34	6
4	во всяком случае	5	6
5	для того чтобы	19	5
6	до сих пор	4	5
7	друг с другом	6	5
8	в том числе	3	5
9	а с другой	6	5
10	о том что	10	4
11	том числе и	3	4
12	так же как	6	3
13	точно так же	2	3
14	и таким образом	2	3
15	в том что	30	3
16	в связи с	3	3
17	можно сказать что	5	2
18	на то что	9	2
19	но вместе с	5	2
20	между этими двумя	2	2
21	то же самое	4	2
22	то что он	2	2
23	в то же	2	2
24	той или иной	2	2
25	и потому что	2	2
26	то же время	2	2
27	с самого начала	9	2
28	этой точки зрения	2	2
29	влечет за собой	2	2
30	в этом отношении	6	2
31	по сравнению с	9	2
