N	2gram	Voloshinov	KulturaY
1	и в	12	84
2	в том	6	74
3	не только	4	60
4	точки зрения	14	59
5	в этом	4	57
6	и не	10	52
7	может быть	14	47
8	том что	5	44
9	что в	2	44
10	в самом	4	41
11	самом деле	3	37
12	хотя бы	5	37
13	так как	9	36
14	с точки	2	36
15	таким образом	12	33
16	а не	5	33
17	если бы	9	32
18	не в	4	30
19	прежде всего	8	30
20	в его	2	30
21	и пр	3	30
22	все же	4	29
23	того что	3	28
24	не менее	3	28
25	все эти	3	28
26	уже не	4	26
27	не может	16	25
28	то что	5	25
29	еще не	3	24
30	с другой	4	24
31	так и	4	23
32	то же	5	23
33	только в	6	23
34	с помощью	6	23
35	тем не	3	21
36	но и	3	20
37	по себе	3	20
38	и что	2	20
39	но в	5	19
40	речи в	2	19
41	зависимости от	4	19
42	о том	3	19
43	между тем	3	18
44	все это	3	18
45	как бы	13	18
46	и с	3	18
47	вместе с	2	18
48	это не	2	17
49	как это	2	17
50	другой стороны	2	17
51	слова и	6	17
52	в виду	5	16
53	ничего не	2	16
54	в зависимости	2	16
55	что не	4	16
56	что и	2	16
57	но не	2	16
58	по отношению	11	15
59	при этом	6	15
60	в данном	2	15
61	как на	2	15
62	в нашем	11	15
63	в них	3	14
64	сказать что	7	14
65	мы имеем	2	14
66	отношению к	11	14
67	сих пор	3	14
68	и на	4	14
69	в ней	6	14
70	до сих	3	14
71	слово это	2	13
72	в пределах	3	13
73	для нас	7	13
74	там где	2	13
75	и его	13	13
76	с этой	2	12
77	как в	5	12
78	тогда когда	2	12
79	могут быть	2	12
80	ясно что	3	12
81	в своем	2	11
82	те же	2	11
83	должна быть	5	11
84	в нем	6	11
85	и здесь	2	11
86	и то	2	11
87	в какой	2	11
88	уже в	2	11
89	он не	2	11
90	в каком	3	10
91	так же	3	10
92	в то	2	10
93	к этому	2	10
94	как и	5	10
95	в особенности	2	10
96	от того	4	10
97	конечно не	3	10
98	здесь не	3	9
99	и для	3	9
100	в своей	3	9
101	можно сказать	5	9
102	что слово	2	9
103	но это	2	9
104	ни в	3	9
105	но для	3	9
106	что мы	5	9
107	на самом	4	8
108	в чем	2	8
109	с одной	2	8
110	с его	2	8
111	да и	3	8
112	независимо от	2	8
113	в этих	2	8
114	смысл и	2	8
115	но все	2	8
116	не есть	2	8
117	отнюдь не	5	8
118	тому же	2	8
119	до конца	2	7
120	в процессе	6	7
121	в поэзии	3	7
122	и потому	2	7
123	была бы	2	7
124	она не	2	7
125	одной стороны	2	7
126	и более	3	7
127	в котором	3	7
128	когда он	3	7
129	с ним	3	7
130	данном случае	2	6
131	его к	2	6
132	в себе	3	6
133	нуждается в	3	6
134	как к	3	6
135	этой точки	3	6
136	в корне	2	6
137	за пределы	4	6
138	мы не	3	6
139	оно не	2	6
140	никогда не	5	5
141	в отношении	2	5
142	к его	2	5
143	как же	2	5
144	и к	4	5
145	относится к	2	5
146	в форме	2	5
147	слово в	3	5
148	не так	2	5
149	как не	2	5
150	кроме того	2	5
151	отношение к	4	5
152	и является	4	5
153	но что	2	5
154	мы в	2	5
155	на примере	2	5
156	точка зрения	3	5
157	все они	2	4
158	его в	4	4
159	еще раз	2	4
160	точку зрения	2	4
161	в такой	3	4
162	и все	2	4
163	к нему	4	4
164	между ними	2	4
165	на все	2	4
166	на это	2	4
167	и по	3	4
168	мы можем	2	4
169	бы не	2	4
170	социального общения	4	4
171	в условиях	2	4
172	такой же	2	4
173	формы и	3	4
174	ни на	2	4
175	не к	3	4
176	выражение в	2	4
177	как только	2	4
178	если же	2	4
179	подчеркнуть что	2	4
180	слова но	2	3
181	но мы	2	3
182	и следовательно	5	3
183	действия и	2	3
184	в настоящее	2	3
185	общения и	2	3
186	и другие	2	3
187	тем как	2	3
188	все время	6	3
189	и дает	2	3
190	на него	2	3
191	к ним	2	3
192	настоящее время	2	3
193	к слову	2	3
194	более того	2	3
195	содержания и	2	3
196	на материале	2	3
197	но зато	2	3
198	же относится	2	3
199	так называемой	3	3
200	быть только	2	3
201	для него	3	3
202	есть уже	2	3
203	социальной жизни	2	3
204	и уже	3	3
205	то ни	3	3
206	в некоторых	3	3
207	бы то	3	3
208	со словом	2	3
209	конечно в	2	2
210	вместе со	2	2
211	быть и	3	2
212	в основном	2	2
213	он должен	3	2
214	это как	3	2
215	в атмосфере	2	2
216	и др	5	2
217	ведь и	3	2
218	по природе	2	2
219	и те	2	2
220	слова так	2	2
221	жизни и	4	2
222	самое слово	2	2
223	имеет в	3	2
224	с другими	2	2
225	дело в	4	2
226	его как	2	2
227	и слово	2	2
228	имеет место	2	2
229	дело с	2	2
230	общего с	2	2
231	ни было	4	2
232	отношении к	3	2
233	свое выражение	4	2
234	и значение	2	2
235	едва ли	2	2
236	в жизни	5	2
237	в литературе	4	2
238	и так	2	2
239	точек зрения	3	2
240	зависит от	2	2
241	и вообще	3	2
242	имеем в	2	2
243	возможна только	2	2
244	и содержания	2	2
245	двух направлениях	3	2
246	почти исключительно	2	2
247	поскольку они	2	2
248	поэтического произведения	3	2
249	в себя	2	2
250	литературы и	4	2
