N	3gram	Propp_Isto	formyVre
1	в связи с	5	15
2	друг с другом	2	13
3	но и в	2	12
4	не только в	3	11
5	до сих пор	7	10
6	в большинстве случаев	2	8
7	и т д	30	7
8	не может быть	4	7
9	с одной стороны	2	6
10	в том что	8	5
11	мы имеем в	4	5
12	как и в	2	5
13	в то время	2	5
14	то время как	2	4
15	в этом случае	8	4
16	в средние века	2	4
17	и в других	3	4
18	с другой стороны	10	4
19	но все же	5	4
20	во всяком случае	2	4
21	по отношению к	2	4
22	о том что	3	3
23	так же как	7	3
24	как мы увидим	2	3
25	же как и	3	3
26	наряду с этим	2	3
27	по сравнению с	2	3
28	можно сказать что	2	2
29	мы здесь не	2	2
30	что и в	3	2
31	в данном случае	6	2
32	то что было	2	2
33	к тому же	4	2
34	совершенно так же	4	2
35	таким образом и	2	2
