N	3gram	Tiupa_Narr	VeschiIm
1	не может быть	6	24
2	тем не менее	6	11
3	в том что	11	9
4	в самом деле	3	7
5	на то что	2	7
6	с точки зрения	2	6
7	одно и то	2	5
8	и то же	2	5
9	в то же	7	5
10	подобно тому как	4	5
11	не только в	12	5
12	в свою очередь	2	5
13	не только не	2	4
14	более или менее	2	4
15	о том что	3	4
16	дело в том	2	4
17	то же время	7	4
18	можно сказать что	5	3
19	с одной стороны	5	3
20	сами по себе	2	3
21	и в то	2	3
22	во всяком случае	2	2
23	в этом и	3	2
24	для того чтобы	4	2
25	в этом отношении	5	2
26	к тому что	4	2
27	в связи с	3	2
28	в данном случае	12	2
29	как раз в	3	2
30	мы имеем дело	4	2
31	в первом случае	3	2
