N	2gram	Losev_Prob	Vvedenie
1	и т	20	45
2	т д	20	39
3	в том	35	38
4	в этом	25	35
5	и в	62	35
6	том что	25	30
7	может быть	39	30
8	не только	33	26
9	для того	5	23
10	того чтобы	4	22
11	таким образом	13	21
12	также и	22	20
13	не может	14	19
14	то что	42	19
15	потому что	40	18
16	но также	2	16
17	о том	14	16
18	только в	33	16
19	так как	14	15
20	языка и	4	15
21	и не	56	13
22	что в	11	13
23	в самом	4	13
24	в нем	13	13
25	и именно	2	13
26	в их	2	12
27	того что	10	12
28	что такое	4	12
29	точки зрения	14	12
30	в его	10	12
31	как на	2	12
32	этом смысле	5	11
33	в данном	14	11
34	то же	23	11
35	по себе	36	11
36	в ее	6	11
37	как мы	12	11
38	ясно что	11	11
39	вопрос о	2	10
40	не в	21	10
41	прежде всего	13	10
42	но в	17	10
43	в той	8	10
44	уже и	2	10
45	тем не	23	9
46	и как	4	9
47	все же	10	9
48	но не	6	9
49	не менее	24	9
50	дело с	3	9
51	в истории	4	9
52	это не	10	8
53	можно было	7	8
54	с другой	14	8
55	а только	9	8
56	именно в	4	8
57	широком смысле	2	8
58	как нечто	9	8
59	в качестве	10	8
60	и то	17	7
61	самом деле	6	7
62	сих пор	4	7
63	как и	15	7
64	как бы	11	7
65	этот вопрос	3	7
66	смысле слова	19	7
67	представить себе	5	7
68	но и	20	7
69	в разных	4	7
70	только как	3	7
71	было бы	14	7
72	до сих	4	7
73	сказать что	24	6
74	его в	4	6
75	хотя бы	6	6
76	иное как	6	6
77	об этом	7	6
78	и даже	21	6
79	но если	12	6
80	тем что	8	6
81	как он	2	6
82	а именно	12	6
83	на этот	4	6
84	с тем	9	6
85	каждой из	2	6
86	и это	11	6
87	а в	9	6
88	уже не	12	6
89	в которых	3	6
90	могут быть	2	6
91	в то	18	6
92	и что	9	6
93	и его	12	6
94	все это	9	6
95	этом случае	8	6
96	вовсе не	62	6
97	вместе с	3	6
98	данном случае	12	5
99	независимо от	4	5
100	дело в	6	5
101	с их	2	5
102	дело не	4	5
103	не что	6	5
104	есть и	2	5
105	в виду	20	5
106	и тем	16	5
107	а как	2	5
108	одним из	2	5
109	с этой	3	5
110	что он	16	5
111	так что	21	5
112	что иное	6	5
113	на основании	2	5
114	быть в	2	5
115	что не	4	5
116	этого понятия	2	5
117	по своему	6	5
118	как это	4	5
119	есть не	13	5
120	не есть	57	5
121	она есть	2	5
122	другой стороны	11	5
123	в них	6	5
124	уже в	5	5
125	в целом	9	5
126	всяком случае	8	5
127	внимание на	2	5
128	что и	11	5
129	говорить о	7	5
130	не просто	36	5
131	а не	28	5
132	но с	2	5
133	хотя и	9	5
134	во всяком	14	5
135	да и	9	4
136	еще и	10	4
137	само по	5	4
138	по сравнению	3	4
139	в результате	8	4
140	мы имеем	7	4
141	о чем	4	4
142	одной стороны	2	4
143	и ее	7	4
144	отдельные области	2	4
145	в области	2	4
146	только что	4	4
147	это только	2	4
148	но ведь	2	4
149	как о	6	4
150	еще не	12	4
151	времени и	4	4
152	по крайней	9	4
153	в чем	5	4
154	отличие от	3	4
155	в отличие	2	4
156	с одной	3	4
157	заключается в	8	4
158	к тому	4	4
159	но все	5	4
160	и для	5	4
161	не имеет	12	4
162	только с	5	4
163	так или	2	4
164	в котором	3	4
