N	2gram	Ircho_Kome	Poddanst
1	не только	12	17
2	и в	40	14
3	и не	19	12
4	в области	3	11
5	в этом	9	10
6	в отношении	6	10
7	но в	6	9
8	то же	7	9
9	в том	19	9
10	в качестве	8	9
11	хотя бы	2	8
12	в то	14	7
13	только в	6	7
14	же время	5	7
15	но и	14	6
16	было бы	8	6
17	в ней	2	6
18	с другой	7	5
19	не в	8	5
20	и о	3	5
21	может быть	16	5
22	по себе	2	4
23	что в	12	4
24	если бы	4	4
25	в своем	6	4
26	том что	19	4
27	европейской культуры	2	4
28	а также	5	4
29	в котором	6	4
30	и к	2	4
31	как бы	3	4
32	и если	2	4
33	то что	8	4
34	не может	3	4
35	а в	9	4
36	же в	7	4
37	и как	3	3
38	с тем	5	3
39	в порядке	2	3
40	но не	3	3
41	это не	2	3
42	т е	14	3
43	столь же	9	3
44	мы не	4	3
45	для того	3	3
46	в себе	3	3
47	точки зрения	7	3
48	потому что	8	3
49	одной стороны	5	3
50	в нем	8	3
51	между тем	9	3
52	вслед за	4	3
53	и без	3	3
54	могут быть	3	3
55	прежде всего	8	3
56	и т	11	3
57	хотя и	6	3
58	тот же	5	3
59	с одной	5	3
60	с ними	2	3
61	наряду с	7	3
62	да и	5	2
63	и и	3	2
64	что из	3	2
65	г и	8	2
66	в них	7	2
67	в мире	3	2
68	если в	3	2
69	одна из	4	2
70	теперь в	2	2
71	для них	2	2
72	не к	2	2
73	в эту	2	2
74	iii в	7	2
75	и это	3	2
76	и право	2	2
77	более чем	4	2
78	точек зрения	2	2
79	и тем	2	2
80	и других	7	2
81	в его	8	2
82	с этим	5	2
83	и вот	4	2
84	в общем	2	2
85	не менее	6	2
86	говорить о	3	2
87	со стороны	3	2
88	в последние	2	2
89	именно в	5	2
90	в начале	7	2
91	в виде	3	2
92	еще более	2	2
93	все это	7	2
94	в частности	7	2
95	том числе	4	2
96	как на	2	2
97	друг другу	2	2
98	и с	8	2
99	во всех	4	2
100	в ее	2	2
101	ii в	4	2
102	между прочим	2	2
103	как раз	4	2
104	в силу	4	2
105	главным образом	4	2
106	из них	16	2
107	отнюдь не	2	2
