N	2gram	Kanaev_Sov	KulturaY
1	и в	7	84
2	в том	4	74
3	не только	4	60
4	точки зрения	12	59
5	в этом	7	57
6	было бы	3	53
7	и не	6	52
8	может быть	12	47
9	что в	2	44
10	в самом	2	41
11	у нас	3	38
12	самом деле	2	37
13	так как	4	36
14	с точки	5	36
15	в области	3	34
16	таким образом	11	33
17	а не	3	33
18	не в	3	30
19	прежде всего	5	30
20	в его	2	30
21	и пр	2	30
22	все же	3	29
23	не менее	2	28
24	все эти	5	28
25	уже не	2	26
26	не может	17	25
27	вопрос о	4	24
28	еще не	3	24
29	то же	3	23
30	с помощью	4	23
31	тем не	2	21
32	во всяком	2	20
33	и что	2	20
34	но в	3	19
35	зависимости от	4	19
36	всяком случае	2	19
37	что же	5	19
38	все это	3	18
39	как бы	4	18
40	вместе с	4	18
41	это не	4	17
42	что это	2	17
43	ничего не	6	16
44	в зависимости	4	16
45	тот же	2	16
46	а в	4	15
47	при этом	3	15
48	в нашем	2	15
49	как мы	2	14
50	что такое	2	14
51	если мы	4	14
52	не могут	2	13
53	что она	3	13
54	в этой	3	13
55	для нас	3	13
56	той же	2	13
57	могут быть	2	12
58	в результате	6	12
59	говорить о	2	12
60	ясно что	3	12
61	или иной	2	11
62	из этих	2	11
63	в нем	3	11
64	совершенно не	2	11
65	уже в	3	11
66	как и	6	10
67	с этим	2	10
68	в первом	3	10
69	в целом	4	9
70	что все	2	9
71	дает нам	2	9
72	в которой	2	9
73	и есть	2	9
74	мы видели	4	8
75	с одной	2	8
76	то и	2	8
77	но все	2	8
78	отнюдь не	3	8
79	в таком	2	8
80	в свою	2	7
81	как он	3	7
82	свою очередь	2	7
83	и потому	3	7
84	когда мы	3	7
85	так сказать	2	7
86	на этот	2	7
87	в одном	3	7
88	в себе	3	6
89	роль в	2	6
90	на этом	2	6
91	отличие от	2	6
92	мы знаем	2	6
93	может иметь	2	6
94	на этой	3	6
95	в отличие	2	6
96	мы называем	3	6
97	же это	4	6
98	мы не	9	6
99	отличается от	3	6
100	приводит к	2	6
101	и именно	2	6
102	тем же	2	6
103	и к	3	5
104	мы должны	4	5
105	все те	2	5
106	а на	2	5
107	не будем	2	5
108	в конце	3	5
109	говорим о	2	5
110	и даже	2	5
111	у него	2	5
112	еще более	2	5
113	в каждом	8	4
114	или же	2	4
115	в науке	2	4
116	в виде	2	4
117	точку зрения	4	4
118	же мы	2	4
119	говорить об	2	4
120	и все	3	4
121	как известно	2	4
122	так называемых	3	4
123	и по	2	4
124	мы можем	6	4
125	тот или	2	4
126	в условиях	5	4
127	такой же	2	4
128	из которых	2	4
129	из них	4	4
130	о значении	2	4
131	если же	2	4
132	само собою	3	4
133	не дает	2	4
134	но мы	3	3
135	в настоящее	2	3
136	и мы	3	3
137	с общим	2	3
138	настоящее время	2	3
139	на его	2	3
140	на котором	2	3
141	из одного	2	3
142	в дальнейшем	4	3
143	значение в	2	3
144	нет и	4	3
145	собою разумеется	2	3
146	она может	2	3
147	мы получаем	3	3
148	он в	3	3
149	знаем что	2	3
150	в наших	3	3
151	мы с	2	3
152	то ни	2	3
153	в некоторых	2	3
154	в системе	3	3
155	конечно в	2	2
156	представлять себе	2	2
157	быть и	2	2
158	состоит из	3	2
159	он должен	2	2
160	возможность и	2	2
161	такие же	2	2
162	а все	3	2
163	к действию	3	2
164	жизни и	4	2
165	мы получим	3	2
166	одна из	3	2
167	с совершенно	2	2
168	первый период	2	2
169	можно использовать	2	2
170	каждый раз	6	2
171	основной вопрос	3	2
172	в живом	2	2
173	который как	2	2
174	не можем	7	2
175	не знаем	2	2
