N	2gram	Bakhtin_Fr	Problema
1	и в	67	182
2	то есть	49	165
3	и не	23	152
4	вовсе не	19	145
5	то что	9	144
6	не только	23	104
7	потому что	8	89
8	в этом	27	88
9	может быть	4	82
10	том что	13	81
11	в том	16	81
12	только в	6	73
13	сказать что	12	72
14	но и	23	70
15	у нас	3	68
16	также и	11	68
17	и даже	6	66
18	не менее	4	58
19	о том	8	57
20	так и	14	56
21	а не	6	56
22	но в	20	55
23	ни в	5	51
24	и вообще	3	48
25	в себе	3	48
26	было бы	5	46
27	в своей	6	45
28	прежде всего	19	45
29	что в	14	44
30	в его	17	44
31	все эти	12	43
32	не в	8	43
33	таким образом	20	42
34	как раз	5	42
35	то же	18	42
36	а именно	2	42
37	если мы	3	42
38	так как	16	40
39	и то	2	40
40	что он	7	40
41	и что	3	40
42	не может	9	39
43	в этой	13	39
44	как бы	18	39
45	в данном	4	38
46	никак не	3	37
47	хотя бы	2	37
48	того что	4	37
49	в нем	20	37
50	еще не	5	36
51	есть нечто	2	36
52	точки зрения	7	36
53	и все	18	36
54	в виду	2	34
55	и с	18	34
56	как и	19	34
57	в таком	2	33
58	же самое	3	33
59	в то	17	32
60	здесь не	7	32
61	но не	6	32
62	в своем	13	31
63	в конце	12	31
64	связи с	7	31
65	все это	15	31
66	так же	13	31
67	но это	10	31
68	с другой	3	30
69	и для	4	30
70	подобного рода	2	30
71	как мы	16	29
72	перед нами	6	29
73	все же	7	29
74	об этом	5	29
75	в связи	5	29
76	можно сказать	4	29
77	данном случае	4	28
78	и о	8	28
79	мы не	6	28
80	а в	4	28
81	и как	7	27
82	ничего не	5	27
83	и это	5	27
84	хотя и	6	27
85	еще и	6	26
86	в результате	5	26
87	как будто	2	26
88	вместе с	5	26
89	это не	5	26
90	да и	2	26
91	другой стороны	2	26
92	и его	19	26
93	с точки	5	25
94	и на	12	25
95	мы можем	5	25
96	на самом	8	24
97	тем более	3	24
98	не имеет	4	24
99	с тем	3	24
100	в нашем	3	24
101	и притом	2	23
102	тут же	2	23
103	мы находим	5	23
104	на то	2	23
105	при этом	5	23
106	в качестве	5	23
107	по своему	5	23
108	никогда не	6	22
109	и если	3	22
110	его в	10	22
111	и есть	5	22
112	что и	8	22
113	и от	6	22
114	другими словами	3	22
115	всех этих	9	22
116	есть в	5	22
117	и к	7	22
118	и ее	2	21
119	и без	3	21
120	а также	4	21
121	в самом	7	21
122	говорить о	5	21
123	и только	2	21
124	для того	8	20
125	именно в	5	20
126	о чем	5	20
127	можно было	5	20
128	несмотря на	3	20
129	или в	3	20
130	тем что	3	20
131	в отношении	2	19
132	то в	3	19
133	если бы	2	19
134	кроме того	11	19
135	он не	9	19
136	с ним	6	19
137	самом деле	6	19
138	в них	12	19
139	как в	4	19
140	жизни и	11	19
141	того же	6	18
142	не будет	2	18
143	того чтобы	9	18
144	в ее	2	18
145	и ни	3	18
146	не было	3	18
147	в ней	10	18
148	ни о	2	17
