N	2gram	Nazirov_Tv	VeschiIm
1	не есть	2	79
2	и не	12	57
3	не только	16	48
4	то что	9	48
5	не может	9	46
6	и в	40	45
7	и есть	2	40
8	может быть	11	39
9	и т	14	39
10	т д	10	38
11	а не	9	37
12	значит что	3	32
13	что я	4	26
14	общения с	2	25
15	потому что	10	25
16	было бы	2	24
17	в себе	3	23
18	что она	5	23
19	по себе	2	23
20	только в	7	23
21	сказать что	3	22
22	и что	2	22
23	как бы	26	20
24	но и	10	19
25	все же	9	18
26	в этом	11	18
27	есть не	2	17
28	и это	2	17
29	прежде всего	10	17
30	так как	6	17
31	того что	3	16
32	таким образом	14	16
33	как раз	2	16
34	в том	13	15
35	как и	16	15
36	в ней	2	15
37	уже не	6	15
38	не в	3	14
39	но это	10	14
40	том что	14	13
41	это и	4	13
42	не будет	2	13
43	в самом	6	13
44	в себя	3	13
45	ничего не	3	12
46	но если	4	12
47	что в	17	12
48	что и	3	12
49	что они	3	12
50	и как	5	12
51	то же	19	12
52	еще не	5	12
53	и даже	8	12
54	о том	9	12
55	и с	9	12
56	не значит	2	12
57	в то	23	11
58	не менее	8	11
59	что не	5	11
60	вовсе не	5	11
61	себя в	3	11
62	тем не	2	11
63	и их	2	11
64	ни в	2	11
65	и только	2	11
66	крайней мере	4	10
67	в чем	4	10
68	что оно	2	10
69	с ее	3	10
70	по крайней	4	10
71	это не	9	9
72	так что	4	9
73	в своем	4	9
74	она не	2	9
75	ли это	2	9
76	хотя бы	5	9
77	я и	3	9
78	у нас	2	9
79	но не	7	9
80	и его	14	9
81	с ним	4	9
82	его в	2	8
83	и потому	4	8
84	указывает на	2	8
85	что он	11	8
86	но в	11	8
87	в ее	3	8
88	мы не	3	8
89	все это	14	8
90	можно сказать	2	8
91	в свете	3	8
92	если бы	4	8
93	в философии	2	8
94	для него	9	8
95	с другой	4	8
96	со своим	2	8
97	отнюдь не	9	8
98	и тут	2	7
99	и тем	2	7
100	из них	4	7
101	самом деле	4	7
102	а в	10	7
103	все эти	3	7
104	я не	5	7
105	тем что	2	7
106	с этой	4	7
107	ни на	3	7
108	и тогда	2	7
109	никогда не	13	6
110	от ее	2	6
111	и все	6	6
112	в нем	4	6
113	и до	2	6
114	в своей	8	6
115	одна из	5	6
116	в данном	2	6
117	дело в	4	6
118	в сфере	2	6
119	этот вопрос	4	6
120	из себя	2	6
121	жизни и	3	6
122	в одном	3	6
123	и если	3	5
124	когда я	2	5
125	как к	2	5
126	свою очередь	2	5
127	действительности и	3	5
128	вместе с	4	5
129	как это	2	5
130	того же	2	5
131	точка зрения	2	5
132	и без	2	5
133	то это	2	5
134	мы находим	2	5
135	один из	5	5
136	на себя	2	5
137	мы видим	3	5
138	в его	19	5
139	и когда	2	5
140	хотя и	5	5
141	во всех	2	5
142	в которой	5	5
143	мысли и	5	5
144	об этом	4	5
145	в мысли	2	5
146	и здесь	2	5
147	в жизни	3	5
148	что у	5	5
149	от всех	2	5
150	что для	3	5
151	в свою	8	5
152	в настоящем	2	5
153	как она	2	5
154	так же	6	4
155	и притом	2	4
156	в конце	5	4
157	и у	3	4
158	при помощи	4	4
159	в их	5	4
160	так и	5	4
161	это я	2	4
162	что все	4	4
163	в этой	7	4
164	не то	2	4
165	же не	2	4
166	переходит в	2	4
167	в качестве	2	4
168	не было	3	4
169	тот же	3	4
170	социальной действительности	2	4
171	во всяком	2	4
172	с ними	3	4
173	в основе	3	4
174	и от	8	4
175	то в	2	4
176	с этим	2	4
177	дело не	3	4
178	и еще	2	4
179	к ней	3	4
180	на него	2	4
181	и вот	2	4
182	во имя	3	4
183	его и	2	4
184	и о	2	4
185	но только	3	4
186	отношении к	2	4
187	и более	2	4
188	в котором	8	4
189	не существует	3	4
190	может не	2	4
191	еще более	3	4
192	сводится к	2	4
193	говорит о	3	4
194	же время	18	4
195	он не	10	4
196	и сам	5	4
197	о которой	2	4
198	перед нами	3	3
199	к одному	2	3
200	этого вопроса	2	3
201	для человека	3	3
202	не является	3	3
203	человека и	6	3
204	но она	2	3
205	по самому	2	3
206	казалось бы	4	3
207	себе не	3	3
208	этот тип	2	3
209	в виде	4	3
210	это все	2	3
211	только на	2	3
212	в частности	4	3
213	если он	4	3
214	идеи и	2	3
215	а с	4	3
216	только с	3	3
217	к тому	2	3
218	ли в	2	3
219	была бы	2	3
220	другой стороны	2	3
221	быть может	3	3
222	себя как	2	3
223	если не	4	3
224	в целом	7	3
225	же как	3	3
226	вот почему	3	3
227	тогда как	3	3
228	было в	2	3
229	в истории	2	3
230	не все	2	3
231	действительности в	2	3
232	говорит что	2	3
233	не нужно	2	3
234	образ и	2	3
235	а я	3	3
236	но уже	2	3
237	только что	2	3
238	превращается в	2	3
239	жизни в	9	3
240	как в	10	3
241	ни к	2	3
242	с одной	2	3
243	не мог	3	3
244	сами по	2	3
245	у него	11	3
246	не имеет	2	3
247	в своих	8	3
248	свидетельствует о	2	3
249	но когда	2	3
250	однако это	2	3
251	однако в	3	3
252	или в	2	3
253	не к	2	3
254	и всякий	2	3
255	мы уже	2	3
256	но он	3	3
257	данном случае	2	2
258	тем самым	10	2
259	ее и	2	2
260	тому что	2	2
261	а что	2	2
262	когда же	2	2
263	то есть	16	2
264	наряду с	6	2
265	не был	4	2
266	едва ли	2	2
267	здравого смысла	2	2
268	в одно	2	2
269	в виду	3	2
270	но эта	3	2
271	и со	2	2
272	в с	2	2
273	в руки	2	2
274	не так	5	2
275	да я	2	2
276	но эти	3	2
277	это уже	7	2
278	гораздо более	2	2
279	он говорит	3	2
280	уже в	5	2
281	по природе	6	2
282	и человек	3	2
283	ту же	4	2
284	что на	3	2
285	всяком случае	2	2
286	а а	4	2
287	и та	2	2
288	между собой	2	2
289	не столько	4	2
290	нуждается в	2	2
291	а затем	5	2
292	для ее	2	2
293	связи с	2	2
294	в связи	2	2
295	в первом	3	2
296	в первой	4	2
297	меня не	2	2
298	но зато	3	2
299	я бы	3	2
300	вообще говоря	2	2
301	в россии	5	2
302	не знать	2	2
303	в начале	2	2
304	его как	2	2
305	к этому	4	2
306	о котором	2	2
307	по преимуществу	4	2
308	переход от	2	2
309	человека в	9	2
310	говорили что	2	2
311	но ведь	2	2
312	никуда не	2	2
313	и другие	4	2
314	одного из	3	2
315	в в	2	2
316	жизнь и	2	2
317	в сферу	2	2
318	же и	2	2
319	связан с	4	2
320	не случайно	6	2
321	далеко не	3	2
322	нет не	2	2
323	именно в	6	2
324	зависит от	4	2
325	когда он	4	2
326	приводит к	4	2
327	и на	12	2
328	и того	2	2
329	он сам	8	2
330	только как	2	2
331	как будто	5	2
332	той же	4	2
333	с его	12	2
