N	3gram	Tiupa_Hudo	Vladivir
1	в том что	8	29
2	тем не менее	3	18
3	в связи с	3	12
4	более или менее	6	11
5	в то же	7	10
6	с точки зрения	3	10
7	не может быть	4	10
8	то же время	7	9
9	в этом смысле	3	9
10	том что он	2	6
11	в отличие от	7	6
12	с другой стороны	6	6
13	так или иначе	4	6
14	бы то ни	2	5
15	и в то	2	5
16	можно сказать что	3	4
17	с одной стороны	3	4
18	для того чтобы	5	4
19	в том числе	3	3
20	в самом деле	2	3
21	так и не	4	3
22	а с другой	2	3
23	к тому что	2	3
24	в свою очередь	2	3
25	и прежде всего	2	2
26	и то же	3	2
27	может быть и	2	2
28	в том и	2	2
29	одно и то	3	2
30	в таком случае	2	2
31	то ни было	2	2
