N	2gram	Vinokur_Ku	Sotsiolo
1	все это	10	7
2	в том	47	5
3	в этом	31	5
4	для нас	6	3
5	не только	29	3
6	и только	2	3
7	в его	16	3
8	но ведь	3	3
9	не в	18	3
10	и в	44	3
11	это и	6	2
12	дело не	4	2
13	должна быть	6	2
14	отношению к	9	2
15	по отношению	9	2
16	еще не	10	2
17	только в	15	2
18	что в	25	2
19	тем более	2	2
20	в частности	6	2
21	том что	30	2
22	было бы	28	2
23	таким образом	17	2
24	в смысле	2	2
25	то же	12	2
26	только как	3	2
27	как будто	2	2
28	и что	11	2
29	конце концов	3	2
30	как только	2	2
31	к которому	3	2
32	нужно было	3	2
33	то что	14	2
34	как бы	11	2
35	но и	13	2
36	главным образом	3	2
37	исторической жизни	2	2
38	очевидно что	4	2
39	в конце	5	2
40	и мы	2	2
41	или даже	2	2
42	далеко не	2	2
43	может быть	25	2
44	по существу	9	2
45	в результате	8	2
