N	2gram	Nazirov_Vr	Hudozhes
1	в мире	2	24
2	и в	8	23
3	не только	9	20
4	в том	3	20
5	может быть	4	19
6	при этом	4	19
7	и не	5	16
8	тогда как	2	15
9	но и	7	14
10	а в	2	13
11	в себе	2	13
12	то же	5	12
13	в этом	8	12
14	и его	3	12
15	как бы	4	11
16	точки зрения	2	11
17	в его	3	11
18	но в	6	10
19	том что	3	9
20	не может	2	9
21	в то	5	8
22	и т.п	2	7
23	отношение к	2	7
24	в своей	2	7
25	же время	5	7
26	что в	7	7
27	уже не	2	6
28	а также	2	6
29	в нем	6	6
30	с его	3	6
31	место в	2	5
32	в виду	4	5
33	что он	4	5
34	то что	7	5
35	не менее	2	5
36	для него	2	5
37	и то	2	4
38	его в	3	4
39	далеко не	3	4
40	это не	4	4
41	так в	2	4
42	между тем	5	4
43	и как	3	4
44	еще не	2	4
45	и что	8	4
46	он не	3	4
47	и о	3	4
48	отношения к	2	4
49	в своем	3	4
50	и ее	2	3
51	в романе	6	3
52	как и	6	3
53	их в	2	3
54	о чем	2	3
55	в русской	3	3
56	в свою	2	3
57	человека с	2	3
58	связи с	3	3
59	в той	2	3
60	как раз	2	3
61	с точки	2	3
62	в связи	3	3
63	таким образом	2	3
64	в момент	2	3
65	но он	3	3
66	никогда не	2	2
67	о том	4	2
68	одна из	2	2
69	начиная с	2	2
70	и это	2	2
71	в повести	2	2
72	столь же	2	2
73	в чем	3	2
74	но как	2	2
75	тем более	2	2
76	о себе	3	2
77	так же	4	2
78	об этом	5	2
79	я не	3	2
80	в известном	2	2
81	отнюдь не	2	2
82	в них	2	2
83	речь идет	3	2
84	несмотря на	4	2
85	русской литературе	3	2
86	все это	4	2
87	в году	18	2
88	одним из	3	2
89	в этой	2	2
90	а с	2	2
91	с ним	4	2
92	на основе	2	2
93	у него	5	2
