N	3gram	Vygotskiy_	Dialekti
1	и т д	6	75
2	это значит что	2	47
3	с точки зрения	11	46
4	в том что	20	25
5	ни в каком	2	18
6	не может быть	3	18
7	сам по себе	2	16
8	одно и то	3	12
9	и то же	3	12
10	о том что	8	12
11	с другой стороны	5	12
12	на то что	16	11
13	в самом деле	29	10
14	и в этом	6	9
15	это и есть	2	9
16	одна и та	2	8
17	не только не	3	8
18	только то что	3	8
19	и та же	3	8
20	в то время	4	8
21	то время как	3	8
22	вовсе не в	2	7
23	сами по себе	3	7
24	не в том	2	7
25	точно так же	3	7
26	для того чтобы	17	6
27	то что мы	3	6
28	во всяком случае	6	6
29	что это есть	2	6
30	с одной стороны	6	6
31	не имеет никакого	3	6
32	то и другое	3	5
33	что в нем	3	5
34	на самом деле	3	5
35	это было бы	2	5
36	ничего общего с	2	5
37	до сих пор	6	5
38	одной и той	3	5
39	и той же	3	5
40	к тому что	5	5
41	в том смысле	2	5
42	потому что он	3	5
43	то же самое	12	4
44	мы уже знаем	2	4
45	и то и	3	4
46	так же как	2	4
47	в данном случае	5	4
48	и т п	7	4
49	этой точки зрения	2	4
50	с этой точки	2	4
51	и может быть	3	4
52	к тому же	2	4
53	я не могу	3	4
54	можно было бы	6	4
55	и что она	2	3
56	и как бы	2	3
57	с самого начала	10	3
58	речь идет о	5	3
59	не было бы	2	3
60	ни в какой	2	3
61	о том как	3	3
62	того или иного	2	3
63	что он не	4	2
64	если мы будем	2	2
65	мы не можем	2	2
66	никогда не может	2	2
67	та же самая	3	2
68	несмотря на свою	2	2
69	друг с другом	2	2
70	заключается не в	2	2
71	она не может	2	2
72	в ее основе	3	2
73	так как мы	2	2
74	в лучшем случае	2	2
75	потому что они	2	2
76	мы видим что	7	2
77	имеет место в	2	2
78	на этом примере	2	2
79	то что с	2	2
80	эти два плана	2	2
81	в жизни и	2	2
82	это не просто	3	2
83	в свою очередь	3	2
84	и вместе с	3	2
85	в таком виде	2	2
86	и то что	3	2
