N	3gram	Vinokur_St	Marksizm
1	с точки зрения	10	46
2	не может быть	5	25
3	в самом деле	7	19
4	в то же	5	15
5	по отношению к	3	15
6	то же время	5	15
7	в том что	29	14
8	бы то ни	2	12
9	для того чтобы	13	11
10	до сих пор	12	11
11	с самого начала	3	10
12	но в то	2	9
13	может быть и	2	8
14	в настоящее время	2	8
15	с другой стороны	8	7
16	во всяком случае	8	6
17	на самом деле	7	6
18	на то что	5	6
19	с одной стороны	2	6
20	в этом отношении	13	5
21	к тому что	4	5
22	в этом случае	3	5
23	том что он	6	4
24	о том что	19	4
25	в зависимости от	2	4
26	но все же	3	4
27	в применении к	3	3
28	в данном отношении	6	3
29	тем не менее	4	3
30	более или менее	2	3
31	в конце концов	2	3
32	в том числе	3	3
33	одним и тем	2	3
34	можно было бы	8	3
35	на этот вопрос	2	3
36	не только в	4	3
37	свое выражение в	2	3
38	но и в	2	3
39	и тем же	2	3
40	хотя бы и	2	3
41	том числе и	2	3
42	в значительной степени	2	3
43	и в этом	4	3
44	по крайней мере	2	2
45	а иногда и	2	2
46	но и здесь	2	2
47	так и в	5	2
48	так же как	5	2
49	ничего общего с	3	2
50	вопрос о том	4	2
51	в данном случае	7	2
52	что он не	5	2
53	как и в	2	2
54	а между тем	2	2
55	сами по себе	2	2
56	и в самом	3	2
57	к тому же	2	2
58	чуть ли не	2	2
59	тому что в	2	2
60	и в том	3	2
61	так или иначе	3	2
62	в г в	4	2
63	в этом смысле	2	2
64	того или иного	4	2
65	он должен был	2	2
