N	3gram	Voloshinov	Narrotol
1	в том что	9	18
2	в данном случае	4	17
3	по отношению к	11	11
4	в отличие от	2	11
5	о том что	3	9
6	в то же	6	8
7	тем не менее	4	8
8	в этом отношении	4	8
9	то же время	6	8
10	не может быть	14	8
11	можно сказать что	5	6
12	с одной стороны	2	6
13	на самом деле	4	5
14	для того чтобы	3	5
15	в свою очередь	4	5
16	к тому что	2	4
17	во всяком случае	8	4
18	в конечном счете	3	4
19	то же самое	2	3
20	и не может	3	3
21	с точки зрения	15	3
22	а также и	2	3
23	в самом деле	10	3
24	до сих пор	3	3
25	в зависимости от	4	3
26	все то что	3	2
27	в таком случае	4	2
28	чем иным как	2	2
29	а с другой	2	2
30	далеко не всегда	3	2
31	не в его	3	2
