N	2gram	Bakhtin_sl	VrazhdaK
1	у тургенева	7	11
2	не только	37	9
3	и что	2	8
4	в этом	21	8
5	и в	69	8
6	что в	3	7
7	но и	37	7
8	и все	9	7
9	то что	2	7
10	но в	13	6
11	как и	8	6
12	в котором	2	6
13	в нем	44	6
14	и с	10	6
15	о нем	6	6
16	все же	10	6
17	в романе	64	6
18	и даже	11	6
19	и не	32	5
20	не было	4	5
21	то же	17	5
22	в то	17	5
23	же время	15	5
24	у него	5	5
25	между тем	5	5
26	для нас	7	4
27	уже в	2	4
28	целый ряд	2	4
29	несмотря на	2	4
30	это не	8	4
31	в виду	2	4
32	все это	14	4
33	при этом	12	4
34	о том	5	4
35	в ней	7	4
36	как бы	16	4
37	х годов	2	4
38	так же	2	4
39	что он	2	4
40	в истории	6	4
41	с ним	12	4
42	может быть	40	4
43	человека в	5	3
44	и у	2	3
45	в том	7	3
46	в чем	2	3
47	одним из	5	3
48	его в	7	3
49	далеко не	7	3
50	и во	3	3
51	в своем	9	3
52	том что	6	3
53	в его	19	3
54	в связи	2	3
55	и о	3	3
56	и его	45	3
57	и как	3	3
58	он не	5	3
59	о себе	2	3
60	связи с	4	3
61	эти слова	4	3
62	к этому	3	3
63	но он	4	3
64	на то	2	3
65	с его	8	3
66	никогда не	9	2
67	и то	2	2
68	в них	11	2
69	уже не	5	2
70	одна из	6	2
71	к ним	2	2
72	место в	2	2
73	в него	9	2
74	в той	13	2
75	для него	8	2
76	с точки	11	2
77	а в	10	2
78	а также	5	2
79	столь же	2	2
80	к автору	2	2
81	том же	4	2
82	в своей	8	2
83	как раз	3	2
84	же в	2	2
85	но как	2	2
86	в себе	3	2
87	еще не	9	2
88	точки зрения	24	2
89	же как	2	2
90	таким образом	16	2
91	и ее	3	2
92	его и	5	2
93	отношения к	3	2
94	п в	2	2
95	время и	3	2
96	в свою	4	2
97	так в	2	2
98	рядом с	7	2
99	в эту	3	2
100	не может	27	2
101	в роман	22	2
102	из них	3	2
103	не менее	4	2
104	его на	2	2
105	но это	3	2
106	с которым	4	2
107	а с	2	2
108	вместе с	3	2
109	в известном	2	2
110	отношение к	8	2
