N	3gram	Tiupa_Hudo	Myshleni
1	в том что	8	133
2	с точки зрения	3	89
3	для того чтобы	5	78
4	по отношению к	10	42
5	с одной стороны	3	39
6	с другой стороны	6	26
7	не может быть	4	23
8	к тому что	2	22
9	можно сказать что	3	21
10	в самом деле	2	19
11	в отличие от	7	18
12	состоит в том	5	18
13	в этом смысле	3	18
14	этой точки зрения	2	17
15	одного и того	3	17
16	в связи с	3	17
17	и того же	3	17
18	с этой точки	2	16
19	в известном смысле	2	15
20	в свою очередь	2	14
21	подобно тому как	3	14
22	а с другой	2	13
23	тем не менее	3	12
24	одно и то	3	12
25	и то же	3	12
26	в том числе	3	10
27	по своей природе	2	10
28	том числе и	2	10
29	сама по себе	2	9
30	в конечном счете	5	9
31	более или менее	6	9
32	том что он	2	9
33	той или иной	5	8
34	что в основе	2	8
35	включает в себя	2	7
36	приводит к тому	2	7
37	в том и	2	6
38	но он не	2	5
39	в то же	7	5
40	мы имеем дело	2	4
41	в значительной степени	2	4
42	бы то ни	2	3
43	и в самом	3	3
44	то ни было	2	3
45	тех или иных	2	3
46	имеем в виду	3	3
47	мы имеем в	3	3
48	того или иного	4	3
49	то же время	7	3
50	до известной степени	2	2
51	значении этого слова	2	2
52	в силу своей	4	2
53	тот или иной	3	2
54	ту или иную	2	2
55	по сути дела	3	2
56	в той или	2	2
57	в единое целое	2	2
58	тем или иным	2	2
59	как бы не	2	2
