N	2gram	Bakhtin_Pr	Istorich
1	и в	64	181
2	и т	14	160
3	т д	4	142
4	т е	44	133
5	может быть	43	115
6	не только	26	114
7	что он	15	111
8	что в	11	90
9	но и	26	85
10	в этом	33	81
11	так как	9	75
12	то что	21	73
13	таким образом	15	72
14	и не	55	67
15	все же	11	65
16	мы видим	3	65
17	в этих	5	64
18	еще не	10	63
19	не может	26	61
20	этих случаях	2	60
21	так же	8	57
22	то же	18	56
23	никогда не	11	56
24	в том	12	53
25	том что	8	53
26	с другой	7	52
27	а в	10	52
28	потому что	8	52
29	что и	7	51
30	и что	5	51
31	и здесь	6	51
32	о том	5	48
33	а не	29	48
34	его в	8	47
35	не в	15	47
36	другой стороны	6	46
37	превращается в	5	45
38	мы должны	3	44
39	но в	14	44
40	и пр	5	44
41	это не	12	43
42	и его	21	43
43	в нем	28	42
44	только в	13	42
45	как в	7	42
46	или в	7	39
47	в его	30	38
48	для нас	2	38
49	тем что	6	38
50	что герой	2	38
51	и на	16	38
52	так и	8	37
53	он не	14	37
54	уже не	15	37
55	как и	25	37
56	мы уже	4	37
57	мы увидим	6	36
58	здесь мы	4	35
59	все эти	13	35
60	мы не	4	35
61	не всегда	2	34
62	что это	2	34
63	но не	12	34
64	а именно	2	34
65	связи с	3	34
66	у него	11	34
67	там где	12	33
68	же как	2	33
69	об этом	3	33
70	сих пор	9	32
71	ничего не	8	31
72	прежде всего	16	31
73	один из	3	31
74	то это	3	31
75	с этим	3	30
76	до сих	9	30
77	к нему	11	30
78	но все	6	29
79	как мы	13	29
80	но это	6	29
81	например в	5	28
82	что она	7	28
83	и с	9	28
84	как он	3	27
85	так что	6	27
86	в образе	2	27
87	героя в	7	27
88	того что	3	27
89	могут быть	9	27
90	мы здесь	2	26
91	в ней	2	26
92	и др	7	26
93	на него	6	26
94	вопрос о	3	25
95	и он	5	25
96	было бы	8	24
97	если бы	12	24
98	не менее	3	24
99	того как	3	24
100	все это	9	23
101	когда он	2	23
102	тем не	2	23
103	в этой	5	23
104	их в	8	23
105	и это	8	23
106	как бы	33	23
107	при этом	8	22
108	с ним	8	22
109	в одном	20	21
110	сказать что	4	21
111	ее в	3	21
112	в другом	3	21
113	к тому	4	21
114	они не	5	21
115	здесь не	7	21
116	она не	10	20
117	одна из	5	20
118	в свете	4	20
119	в других	2	20
120	из них	3	20
121	из этих	3	20
122	и как	9	19
123	что у	2	19
124	все еще	2	19
125	с собой	3	19
126	в другой	4	19
127	на том	2	19
128	есть и	5	19
129	на то	5	19
130	но он	4	19
131	что этот	2	18
132	в данном	2	18
133	вовсе не	12	18
134	в то	15	18
135	по существу	6	17
136	то и	3	17
137	и только	3	17
138	и этим	5	17
139	в них	5	17
140	и они	2	16
141	всех этих	2	16
142	перед нами	12	16
143	и все	6	16
144	в котором	7	16
145	этот вопрос	4	16
146	во всех	4	16
147	данном случае	2	15
148	в целом	8	15
149	на его	2	15
150	в своей	11	15
151	даже в	6	15
152	его и	3	15
153	в пределах	24	15
154	друг друга	4	15
155	и даже	5	15
156	в которых	4	15
157	как будто	4	15
158	в одной	8	15
159	но есть	2	15
160	он в	3	15
161	отношение к	4	14
162	у нас	3	14
163	должна быть	8	14
164	с этой	2	14
165	в него	6	14
166	на вопрос	2	14
167	можно было	3	14
168	отношению к	12	14
169	из которых	3	14
170	и есть	3	14
171	его на	2	14
172	и ее	5	14
173	по отношению	12	14
174	и наконец	7	14
175	но они	2	14
176	находится в	2	14
177	на себя	4	14
178	к своему	2	13
179	на ней	2	13
180	и для	7	13
181	все что	4	13
182	и от	3	13
183	на котором	3	13
184	на этом	2	13
185	в книге	2	13
186	в своем	12	13
187	время как	2	13
188	и у	3	13
189	не имеет	2	13
190	и если	2	13
191	в себе	11	13
192	с ними	2	13
193	в форме	8	13
194	по себе	16	13
195	то время	2	13
196	таким же	3	13
197	кроме того	5	12
198	в их	6	12
199	и герой	3	12
200	и их	3	12
