N	3gram	Medvedev_V	KulturaY
1	и т п	9	93
2	и т д	16	42
3	для того чтобы	3	38
4	в том что	5	33
5	можно было бы	2	25
6	во всяком случае	2	19
7	с другой стороны	8	17
8	в зависимости от	5	16
9	до сих пор	2	14
10	в том чтобы	2	14
11	по крайней мере	2	13
12	по отношению к	7	13
13	в связи с	4	12
14	в этом отношении	14	11
15	не может быть	8	11
16	о том что	3	10
17	вместе с тем	4	9
18	не в том	2	8
19	не только в	2	8
20	чуть ли не	2	7
21	только в том	2	7
22	после того как	2	7
23	с одной стороны	2	7
24	в то же	5	6
25	хотя бы и	5	6
26	этой точки зрения	2	6
27	то же время	5	6
28	т е в	2	5
29	более или менее	6	5
30	хотя бы в	3	5
31	в конечном счете	5	4
32	в этой области	3	4
33	к тому что	4	4
34	только то что	2	4
35	что все эти	2	4
36	в большей или	2	3
37	в противном случае	2	3
38	от того что	2	3
39	не могут быть	4	3
40	или меньшей степени	2	3
41	о том как	3	3
42	в конце концов	2	3
43	не только для	2	3
44	большей или меньшей	3	3
45	в силу этого	4	2
46	мы знаем что	2	2
47	таким образом в	2	2
48	в другом месте	2	2
49	иметь в виду	2	2
50	в том числе	2	2
51	и в другом	2	2
52	в одном из	4	2
53	также и в	2	2
54	можно сказать что	4	2
55	и в то	3	2
