N	3gram	Trubetskoy	Myslijsy
1	в том что	7	47
2	не может быть	4	19
3	то же время	10	13
4	в то же	10	13
5	а между тем	5	13
6	во всяком случае	6	12
7	более или менее	4	12
8	только в том	2	12
9	до сих пор	5	12
10	для того чтобы	6	11
11	о том что	2	9
12	на то что	4	9
13	на самом деле	6	8
14	вместе с тем	3	8
15	в этом случае	3	8
16	с точки зрения	9	7
17	и в том	2	7
18	сама по себе	2	7
19	друг от друга	2	6
20	в том случае	4	5
21	к тому что	2	5
22	и то что	3	5
23	в том и	2	4
24	в данном случае	3	4
25	бы то ни	4	3
26	это потому что	2	3
27	что он не	2	3
28	можно было бы	3	3
29	и тем самым	2	3
30	точно так же	2	3
31	в большинстве случаев	2	3
32	лишь в том	2	3
33	таким же образом	2	2
34	не только к	2	2
35	том случае если	3	2
36	чтобы понять что	2	2
37	а следовательно и	2	2
38	к тому чтобы	4	2
39	и не может	3	2
