N	2gram	Vygotskiy_	FransuaR
1	и в	47	367
2	в этом	47	112
3	и не	27	101
4	таким образом	38	100
5	и его	14	99
6	в его	7	98
7	прежде всего	9	92
8	не только	36	87
9	мы уже	5	85
10	но и	19	84
11	как бы	13	82
12	все эти	7	79
13	вовсе не	3	77
14	как и	19	76
15	в нем	6	75
16	но в	9	75
17	и на	4	72
18	в том	38	71
19	как мы	24	71
20	то же	16	66
21	и все	5	66
22	так и	8	65
23	в этой	7	65
24	в них	3	65
25	в сущности	16	64
26	и с	5	64
27	во время	2	63
28	в то	10	63
29	все это	5	62
30	во всех	9	62
31	что в	23	52
32	в своем	3	51
33	только в	24	48
34	так как	25	46
35	и до	3	46
36	том что	28	45
37	уже говорили	2	44
38	здесь в	2	41
39	то что	40	41
40	у него	2	40
41	в самом	15	38
42	точки зрения	39	37
43	в ней	5	37
44	может быть	20	35
45	мы видим	10	35
46	о том	5	35
47	сказать что	18	34
48	и даже	3	34
49	в себе	14	34
50	рядом с	2	32
51	в конце	5	32
52	он не	5	32
53	мы видели	10	32
54	для него	6	32
55	в своей	4	31
56	до конца	8	31
57	так же	26	30
58	никогда не	7	30
59	и потому	3	30
60	той же	13	30
61	один из	3	30
62	потому что	26	30
63	но он	3	30
64	в этих	2	29
65	не может	23	29
66	еще не	5	29
67	его в	7	29
68	не в	7	29
69	при этом	4	29
70	в одном	4	29
71	связи с	4	29
72	что он	13	29
73	из них	2	28
74	в основе	5	28
75	в той	7	28
76	также и	2	28
77	и к	11	28
78	сих пор	6	27
79	по своему	11	27
80	до сих	6	27
81	и их	7	27
82	том числе	2	27
83	все же	7	27
84	на самом	3	25
85	с помощью	18	25
86	в области	5	25
87	но это	4	25
88	отношение к	8	24
89	того чтобы	26	24
90	в ее	7	24
91	и от	6	24
92	в частности	4	24
93	например в	5	24
94	но не	13	24
95	в большинстве	2	24
96	как в	7	24
97	и для	5	23
98	это не	6	23
99	в их	4	23
100	с ним	5	23
101	и здесь	5	23
102	к нему	5	23
103	большинстве случаев	2	23
104	форм и	5	22
105	и о	4	22
106	и во	5	22
107	границы между	2	22
108	даже в	2	22
109	а в	3	22
110	что и	4	22
111	там где	7	22
112	и других	5	22
113	тем что	14	22
114	вместе с	19	22
115	именно в	9	21
116	в своих	2	21
117	в себя	4	21
118	в качестве	9	21
119	что это	7	21
120	в отношении	9	21
121	и наконец	4	21
122	ни в	3	21
123	одним из	3	21
124	есть в	5	21
125	и как	7	21
126	уже в	3	21
127	как раз	6	20
128	одной из	4	20
129	этом отношении	7	20
130	в виду	5	20
131	в значительной	3	20
132	с точки	31	20
133	самом деле	6	20
134	и это	2	20
135	того же	7	19
136	их в	2	19
137	во всем	4	19
138	хотя и	4	19
139	к этому	2	19
140	было бы	12	19
141	за пределы	2	19
142	с другой	7	19
143	с ее	2	19
144	связанные с	3	18
145	мы находим	3	18
146	это в	2	18
147	со всеми	2	18
148	на этом	4	18
149	это и	7	18
150	перед нами	3	18
151	одна из	2	18
152	в плане	3	17
153	числе и	2	17
154	связанных с	2	17
155	для того	24	17
156	но все	2	17
157	того что	27	17
158	можно было	7	17
159	в результате	3	17
160	связана с	4	17
161	на его	3	17
162	такой же	4	17
163	конечно не	2	17
164	а не	7	17
165	в большей	2	17
166	между тем	2	16
167	ничего не	2	16
168	в свете	9	16
169	в начале	6	16
170	между ними	8	16
171	в другом	3	16
172	они не	2	16
173	с одной	7	16
174	одно из	6	15
175	никто не	2	15
176	и вообще	3	15
177	мысли и	13	15
178	еще в	3	15
179	в нашем	6	15
180	как на	8	15
181	а затем	2	15
182	в первой	3	15
183	с их	2	15
184	в которой	16	15
185	в самой	3	15
186	не мог	2	15
187	из этих	6	15
188	мы не	10	14
189	все что	7	14
190	по существу	2	14
191	слов и	6	14
192	в данном	7	14
193	и он	4	14
194	несмотря на	2	14
195	и по	6	14
196	в чем	5	14
197	в котором	6	14
198	образом в	5	14
199	отличие от	4	13
200	что все	6	13
201	на этой	7	13
202	это было	2	13
203	в других	2	13
204	или в	2	13
205	с этим	5	13
206	бы в	7	13
207	и есть	4	13
208	более того	2	13
209	его к	2	13
210	в одной	6	13
211	о чем	8	13
212	в основном	4	13
213	только на	5	13
214	они и	2	13
215	одной стороны	7	13
216	не знает	3	13
217	одновременно и	3	13
218	в новой	4	12
219	из всех	5	12
220	лишь в	3	12
221	у нас	3	12
222	не могут	9	12
223	во всей	3	12
224	менее всего	3	12
225	в пределах	3	12
226	благодаря этому	3	12
227	и ее	3	12
228	но именно	3	12
229	та же	2	12
230	по своей	12	12
231	раз в	4	12
232	мы встречаем	2	12
233	можно сказать	9	12
234	другой стороны	3	12
235	об этом	4	12
236	но этот	2	12
237	наконец в	3	11
238	все время	3	11
239	в заключение	2	11
240	и более	2	11
241	из этого	4	11
242	на фоне	3	11
243	того как	6	11
244	и что	14	11
245	в системе	3	11
246	момент в	3	11
247	слова и	10	11
248	и особенно	2	11
249	и т.д	4	11
250	время в	3	11
251	той или	2	11
252	что они	11	11
253	очень часто	2	11
254	в отличие	4	11
255	в пределе	3	11
256	данном случае	5	10
257	или иной	2	10
258	здесь как	2	10
259	на котором	4	10
260	на этот	2	10
261	поэтому в	2	10
262	в процессе	12	10
263	к тому	13	10
264	ту же	4	10
265	целый ряд	6	10
266	во второй	5	10
267	нас в	4	10
268	мы остановимся	4	10
269	что для	3	10
270	выражение в	6	10
271	для всех	2	10
272	по отношению	10	10
273	к которому	3	10
274	где они	4	10
275	в целом	7	10
276	что не	2	9
277	значение и	2	9
278	как известно	6	9
279	относится к	5	9
280	но как	3	9
281	как это	7	9
282	связано с	4	9
283	в разных	6	9
284	и то	10	9
285	отношению к	9	9
286	для нас	4	9
287	как к	4	9
288	том же	7	9
289	что на	5	9
290	нашей работы	3	9
291	не имеет	6	9
292	в которых	3	9
293	ведь это	2	9
