N	3gram	Nazirov_Tv	TeoriaLi
1	в том что	8	10
2	по отношению к	3	10
3	в то же	19	8
4	то же время	18	8
5	в отличие от	2	7
6	в конечном счете	4	6
7	с другой стороны	2	6
8	в данном случае	2	5
9	не может быть	2	5
10	по сути дела	5	3
11	тем не менее	2	3
12	можно сказать что	2	3
13	в связи с	2	3
14	в свою очередь	2	3
15	в русской литературе	2	2
16	в известном смысле	2	2
17	в таком случае	2	2
18	войне и мире	2	2
19	в самом деле	2	2
20	в соответствии с	7	2
21	и в то	3	2
22	как и в	2	2
23	не могут быть	2	2
24	но в то	5	2
