N	3gram	Losev_Dial	VeschiIm
1	и т д	38	38
2	это значит что	25	25
3	не может быть	12	24
4	не что иное	6	12
5	не есть ни	14	12
6	бы то ни	2	12
7	что иное как	6	12
8	и больше ничего	4	12
9	содержит в себе	2	11
10	тем не менее	10	11
11	т д и	8	11
12	по крайней мере	10	10
13	д и т	7	10
14	в том что	12	9
15	есть не что	3	8
16	от всего прочего	5	8
17	т е в	4	7
18	вещи с ее	2	7
19	в самом деле	6	7
20	на то что	3	7
21	сама по себе	11	7
22	то и другое	2	6
23	значит что мы	4	6
24	ни в каком	8	6
25	вовсе не есть	5	6
26	и не только	5	6
27	с точки зрения	25	6
28	так или иначе	2	6
29	одно и то	2	5
30	и то же	2	5
31	в то же	3	5
32	подобно тому как	5	5
33	не есть просто	6	5
34	не потому что	2	5
35	т е не	4	5
36	в чем же	2	5
37	и тем не	2	5
38	с этой точки	4	4
39	не только не	7	4
40	то время как	6	4
41	этой точки зрения	4	4
42	сам по себе	6	4
43	о том как	2	4
44	что же такое	3	4
45	но что такое	4	4
46	о том что	6	4
47	тех или других	4	4
48	в то время	6	4
49	есть прежде всего	4	4
50	есть то что	8	4
51	само по себе	8	4
52	в каком случае	2	4
53	от того что	4	4
54	то же время	3	4
55	что не есть	3	4
56	но это –	2	4
57	это и есть	4	4
58	что это значит?	2	4
59	равно как и	2	4
60	не есть ли	2	3
61	мы не можем	2	3
62	из того что	2	3
63	я утверждаю что	7	3
64	и не просто	2	3
65	что это есть	4	3
66	то что мы	3	3
67	не может не	3	3
68	так что в	2	3
69	с одной стороны	3	3
70	но то что	2	3
71	не есть явление	2	3
72	с другой стороны	3	3
73	что она есть	5	3
74	и это –	2	3
75	сами по себе	3	3
76	и в то	2	3
77	то это значит	4	3
78	ни от чего	5	3
79	и даже не	2	3
80	то ясно что	3	2
81	как раз и	3	2
82	во всяком случае	3	2
83	в нем нет	2	2
84	случае не есть	3	2
85	есть не только	3	2
86	что он есть	4	2
87	и что она	2	2
88	или ничего не	2	2
89	в этом отношении	2	2
90	руки и ноги	2	2
91	к тому что	2	2
92	на себя функции	3	2
93	отнюдь не есть	2	2
94	я не буду	3	2
95	по себе совершенно	2	2
96	не было ни	2	2
97	имеет никакого отношения	3	2
98	или по крайней	4	2
99	тем или другим	3	2
100	в связи с	3	2
101	того что она	2	2
102	мы видим что	2	2
103	это не есть	3	2
104	так же как	2	2
105	не имеет никакого	3	2
106	только тогда когда	6	2
107	это значит? это	2	2
108	в данном случае	3	2
109	что она –	3	2
110	никакого отношения к	3	2
111	вы говорите что	2	2
112	не говорит о	3	2
113	а не только	2	2
114	того что именно	3	2
115	и в этом	4	2
116	значит? это значит	2	2
117	даже и не	3	2
118	но это значит	2	2
119	но даже и	3	2
120	и в частности	2	2
121	по смыслу своему	2	2
122	– чтобы быть	2	2
123	крайней мере в	3	2
124	тех или иных	2	2
125	всего прочего и	2	2
