N	2gram	Tiupa_Hudo	Komedia
1	и в	23	77
2	в комедии	2	58
3	и не	16	47
4	в том	20	44
5	том что	9	42
6	о том	2	33
7	но и	14	32
8	может быть	19	30
9	таким образом	3	29
10	в то	8	28
11	и его	12	28
12	в этом	12	27
13	потому что	3	27
14	что он	5	26
15	к тому	4	26
16	не только	20	25
17	как и	3	23
18	ни в	5	23
19	что в	7	23
20	что и	2	22
21	если бы	3	22
22	в самом	7	22
23	так и	12	21
24	а в	13	21
25	то же	12	21
26	в его	11	20
27	со стороны	5	19
28	в этой	2	18
29	еще не	4	17
30	в нем	6	17
31	же время	7	17
32	у него	2	16
33	не менее	5	16
34	при этом	19	16
35	и сам	3	16
36	он не	4	16
37	его в	4	15
38	в своем	4	15
39	не в	9	15
40	точки зрения	11	15
41	между тем	4	15
42	прежде всего	5	15
43	один из	2	15
44	в которой	3	15
45	и на	3	15
46	к нему	3	14
47	все это	2	14
48	об этом	2	14
49	в свою	3	14
50	столь же	2	14
51	о чем	3	13
52	то что	5	13
53	самом деле	2	13
54	но в	10	13
55	того же	3	13
56	в них	2	13
57	того чтобы	5	13
58	что она	2	13
59	в одном	3	13
60	как раз	3	13
61	так же	2	12
62	с другой	9	12
63	для того	5	12
64	как это	7	12
65	несмотря на	2	12
66	в качестве	31	12
67	хотя и	4	12
68	не может	9	12
69	как в	2	12
70	но не	13	12
71	из которых	2	12
72	нового времени	2	12
73	по отношению	10	11
74	в их	5	11
75	в частности	18	11
76	речь идет	2	11
77	и для	3	11
78	с ним	2	11
79	в отношении	4	10
80	в целом	3	10
81	отношение к	7	10
82	одной из	2	10
83	в чем	2	10
84	свою очередь	2	10
85	с его	6	10
86	тем более	2	10
87	с одной	3	10
88	как бы	11	10
89	и что	4	10
90	отличие от	7	9
91	тому что	2	9
92	одной стороны	3	9
93	однако в	4	9
94	и особенно	2	9
95	о его	2	9
96	и по	2	9
97	в своей	7	9
98	а также	6	9
99	отношению к	10	9
100	вовсе не	2	9
101	говорить о	4	9
102	только в	7	9
103	идет о	2	8
104	и ее	3	8
105	то ни	2	8
106	такого рода	12	8
107	по своему	3	8
108	место в	5	8
109	не знает	4	8
110	а затем	2	8
111	связи с	3	8
112	другой стороны	6	8
113	с этой	3	8
114	при всем	2	8
115	во всех	3	8
116	в себе	13	7
117	в другом	4	7
118	и к	3	7
119	и о	4	7
120	так или	4	7
121	со временем	2	7
122	и это	2	7
123	в связи	3	7
124	бы то	2	7
125	из этих	3	7
126	не является	5	7
127	ни было	2	7
128	в этих	4	7
129	или иначе	5	7
130	к его	3	7
131	отнюдь не	2	7
132	перед лицом	3	7
133	даже в	3	6
134	в силу	4	6
135	в виду	5	6
136	и тем	4	6
137	в области	8	6
138	том числе	3	6
139	так в	4	6
140	могут быть	5	6
141	никто не	3	6
142	тем не	3	6
143	и как	4	6
144	как правило	3	6
145	в отличие	7	6
146	в какой	2	6
147	на этом	2	6
148	представляет собой	11	6
149	с точки	3	6
150	или в	2	6
151	а не	13	6
152	никогда не	2	5
153	это не	4	5
154	вслед за	2	5
155	одним из	2	5
156	роль в	2	5
157	мы имеем	6	5
158	между собой	2	5
159	в ее	6	5
160	который в	2	5
161	сказать что	4	5
162	себя в	8	5
163	в мире	24	5
164	за пределы	2	5
165	мира в	2	5
166	к своему	2	5
167	именно в	2	5
168	приводит к	6	5
169	он и	2	5
170	со своей	4	5
171	а на	5	5
172	но он	3	5
173	чтобы не	2	4
174	в глаза	2	4
175	не столько	7	4
176	к которому	4	4
177	в принципе	8	4
178	по своей	7	4
179	художественного мышления	3	4
180	не всегда	2	4
181	или менее	6	4
182	может служить	2	4
183	времени в	2	4
184	между ними	5	4
185	не на	5	4
186	например в	4	4
187	в основе	7	4
188	одна из	2	4
189	из этого	2	4
190	одно из	2	4
191	с их	2	4
192	я не	2	4
193	либо в	2	4
194	в отсутствие	2	4
195	бы не	2	4
196	времени и	2	4
197	и другие	2	4
198	в пределах	3	4
199	не случайно	3	4
