N	3gram	Voloshinov	Mirosoze
1	не может быть	23	28
2	а не в	3	9
3	в том что	9	9
4	это и есть	2	9
5	для того чтобы	7	7
6	в высшей степени	5	7
7	о том что	2	6
8	есть прежде всего	2	6
9	но и в	3	5
10	может быть и	8	5
11	до сих пор	10	5
12	в отношении к	7	5
13	не было бы	3	5
14	от того что	2	4
15	по отношению к	9	4
16	в конце концов	3	4
17	на то что	2	4
18	в нем нет	4	4
19	можно было бы	2	4
20	во всяком случае	4	3
21	том что он	3	3
22	в значительной степени	3	3
23	одной и той	2	3
24	же как и	2	3
25	как и все	2	3
26	и той же	2	3
27	– все это	2	3
28	к тому что	4	3
29	так же как	2	3
30	он не знает	2	2
31	все более и	2	2
32	лежит в основе	2	2
33	смысле этого слова	6	2
34	у нас не	3	2
35	в этом отношении	4	2
36	не только в	2	2
37	а не к	2	2
38	не могут быть	3	2
39	и не может	11	2
40	и те же	5	2
41	более и более	2	2
