N	2gram	Ircho_Kome	Sovremen
1	не может	3	17
2	точки зрения	7	12
3	может быть	16	12
4	таким образом	13	11
5	мы не	4	9
6	в каждом	2	8
7	и в	40	7
8	в этом	9	7
9	и не	19	6
10	ничего не	4	6
11	как и	12	6
12	в результате	5	6
13	мы можем	6	6
14	что же	2	5
15	прежде всего	8	5
16	нет и	2	4
17	вопрос о	5	4
18	мы видели	2	4
19	это не	2	4
20	не только	12	4
21	в том	19	4
22	как бы	3	4
23	так как	6	4
24	в целом	6	4
25	в развитии	2	4
26	жизни и	4	4
27	вместе с	8	4
28	а в	9	4
29	из них	16	4
30	но в	6	3
31	с самого	3	3
32	при этом	5	3
33	из двух	2	3
34	не в	8	3
35	все же	7	3
36	как он	2	3
37	было бы	8	3
38	в области	3	3
39	уже в	9	3
40	в себе	3	3
41	еще не	7	3
42	одна из	4	3
43	у нас	3	3
44	и все	4	3
45	все это	7	3
46	в нем	8	3
47	в первом	2	3
48	и к	2	3
49	на две	3	3
50	что она	3	3
51	в этой	9	3
52	то же	7	3
53	в одном	10	3
54	самого начала	2	3
55	поэтому мы	2	3
56	отнюдь не	2	3
57	так называемых	3	3
58	в конце	7	3
59	ясно что	9	3
60	но все	4	2
61	на его	5	2
62	на этот	5	2
63	и по	6	2
64	же самое	2	2
65	всяком случае	4	2
66	которой он	2	2
67	роль в	2	2
68	каждого из	2	2
69	а на	2	2
70	не менее	6	2
71	той же	3	2
72	в его	8	2
73	с этим	5	2
74	и что	2	2
75	то и	3	2
76	во всяком	4	2
77	в и	3	2
78	и во	4	2
79	такого рода	6	2
80	из этих	5	2
81	в самом	5	2
82	в виде	3	2
83	еще более	2	2
84	что в	12	2
85	времени и	2	2
86	ни одна	2	2
87	в которой	9	2
88	у него	6	2
89	такой же	2	2
90	из четырех	2	2
91	в свою	2	2
92	по мнению	2	2
93	то ни	4	2
94	в нашем	2	2
95	могут быть	3	2
96	в один	2	2
97	только один	2	2
98	в отличие	3	2
99	отличие от	4	2
100	тот же	5	2
101	с одной	5	2
102	на этом	3	2
103	как мы	5	2
104	говорить о	3	2
105	мы знаем	5	2
106	что это	5	2
107	тем не	3	2
108	из которых	5	2
109	как известно	4	2
110	и даже	5	2
111	тем же	2	2
