N	4gram	Tiupa_Teor	Analitik
1	в то же время	8	14
2	состоит в том что	5	7
3	одного и того же	4	6
4	присутствия я в мире	6	5
5	в том что он	2	4
6	что в имени тебе	2	3
7	пушкина что в имени	2	3
8	бы то ни было	2	3
9	совокупность факторов художественного впечатления	2	2
10	имеет в своем составе	2	2
11	слове о полку игореве	2	2
12	но в то же	2	2
13	о у о о	2	2
14	милой гостьи с дудочкой	2	2
15	организации феноменов ментального внутреннего	2	2
16	своей роли в миропорядке	2	2
17	ни в коем случае	2	2
18	субъектной организации художественного произведения	2	2
19	лишь в самом начале	2	2
20	в коем случае не	2	2
21	внимательно взглянула на меня	3	2
22	у о о и	2	2
23	как совокупность факторов художественного	2	2
24	стихотворении пушкина что в	2	2
25	в войне и мире	2	2
26	не следует смешивать с	3	2
27	одно и то же	2	2
28	а и а а	2	2
29	с этой точки зрения	2	2
30	относительно своей роли в	2	2
31	в слове о полку	2	2
32	в рамках одного текста	2	2
