N	3gram	Bakhtin_Pr	slovoVRo
1	и т п	13	72
2	не может быть	11	19
3	в то же	3	18
4	то же время	3	18
5	той или иной	2	15
6	с точки зрения	6	15
7	в отличие от	5	14
8	в большинстве случаев	5	11
9	с одной стороны	3	11
10	во всех его	4	10
11	так и в	2	6
12	с другой стороны	4	6
13	и в то	2	6
14	в том что	3	5
15	в этом отношении	2	5
16	не только в	2	5
17	по отношению к	19	5
18	в лучшем случае	2	4
19	на первый план	2	4
20	для того чтобы	2	4
21	никогда не может	2	4
22	и не может	2	4
23	можно сказать что	2	4
24	в известной степени	2	4
25	не могут быть	2	4
26	со всех сторон	2	3
27	может быть только	3	3
28	в данном случае	4	3
29	того или иного	2	3
30	и в частности	2	2
31	как композиционная форма	2	2
32	между тем как	5	2
33	приходится иметь дело	2	2
34	точки зрения самого	2	2
35	далеко не всегда	3	2
36	и в нем	3	2
37	ни в чем	2	2
38	и в них	2	2
39	можно было бы	3	2
40	и во всех	2	2
41	но и в	2	2
42	в чем не	2	2
43	во всех своих	2	2
44	всех своих моментах	2	2
45	имеет дело с	4	2
46	то или иное	2	2
47	тем не менее	3	2
