N	3gram	Bakhtin_Pr	Tvorches
1	в то же	3	25
2	то же время	3	24
3	в том что	3	11
4	и в то	2	7
5	в конечном счете	4	6
6	не может быть	11	6
7	и т п	13	5
8	по отношению к	19	5
9	в том же	2	5
10	в самом деле	3	5
11	с точки зрения	6	4
12	с другой стороны	4	3
13	и не может	2	3
14	в отличие от	5	3
15	на самом деле	3	2
16	тем не менее	3	2
17	не только в	2	2
18	для того чтобы	2	2
19	можно сказать что	2	2
20	но отнюдь не	7	2
21	так и в	2	2
22	не могут быть	2	2
23	в данном случае	4	2
24	могут быть поняты	2	2
25	в высшей степени	5	2
