N	2gram	Propp_Russ	NovoeSre
1	а не	3	17
2	и в	59	16
3	не может	6	16
4	и не	6	11
5	что в	35	9
6	как не	2	8
7	в том	33	8
8	может быть	14	7
9	как и	19	7
10	к новому	2	7
11	в этом	18	7
12	не в	2	6
13	но это	5	6
14	не только	28	5
15	в жизни	2	5
16	должен быть	2	5
17	все это	12	5
18	в нем	3	5
19	в ней	3	5
20	и к	3	5
21	должно быть	2	4
22	по своему	2	4
23	в них	10	4
24	и для	3	4
25	не имеет	9	4
26	прежде всего	2	4
27	не менее	3	4
28	не было	3	4
29	и потому	3	4
30	то что	10	4
31	о том	14	4
32	это не	14	4
33	потому что	15	4
34	и все	4	4
35	значит что	2	4
36	тому как	3	3
37	в прошлом	2	3
38	но и	20	3
39	к жизни	3	3
40	подобно тому	3	3
41	не значит	2	3
42	она не	4	3
43	к тому	4	3
44	в россии	4	3
45	и пр	4	3
46	еще не	7	3
47	к ним	4	3
48	как в	10	3
49	во всех	6	3
50	вопрос о	4	3
51	не означает	2	3
52	и начало	2	3
53	с тем	14	3
54	что она	4	2
55	как будто	6	2
56	и с	12	2
57	одна из	12	2
58	том чтобы	3	2
59	для этого	6	2
60	но не	7	2
61	что все	2	2
62	думать что	3	2
63	и от	2	2
64	в русском	4	2
65	того чтобы	6	2
66	и это	2	2
67	не будут	2	2
68	когда мы	2	2
69	же как	5	2
70	а в	16	2
71	но в	5	2
72	том что	33	2
73	не к	3	2
74	и на	14	2
75	с этим	4	2
76	в природе	2	2
77	есть в	2	2
78	и что	8	2
79	все эти	5	2
80	мы не	11	2
81	можно было	3	2
82	связаны с	6	2
83	ни одна	2	2
84	у него	2	2
85	уже не	9	2
86	по существу	7	2
87	как это	11	2
88	так же	7	2
89	так и	8	2
90	могут быть	3	2
91	такой же	3	2
92	но она	3	2
93	в то	3	2
94	который в	2	2
95	хотя и	3	2
96	должно было	5	2
97	еще до	2	2
98	место в	2	2
99	вместе с	16	2
