N	2gram	Bakhtin_Pr	PoTuStor
1	может быть	23	17
2	и в	83	16
3	мы можем	9	9
4	в этом	24	9
5	таким образом	9	9
6	прежде всего	20	9
7	и с	10	8
8	точки зрения	17	8
9	совершенно не	4	8
10	не может	18	8
11	и его	13	8
12	сказать что	12	7
13	не только	14	7
14	с его	4	7
15	и это	3	6
16	с точки	13	6
17	конечно не	11	6
18	я и	2	6
19	и к	13	6
20	при этом	6	6
21	ни в	4	5
22	все эти	9	5
23	как бы	27	5
24	еще не	10	5
25	в него	4	5
26	отношение к	14	5
27	как мы	12	4
28	и на	27	4
29	все это	11	4
30	на самом	2	4
31	все позволено	2	4
32	его в	4	4
33	в его	15	4
34	и ее	8	4
35	но и	16	4
36	и не	41	4
37	и все	14	4
38	но в	12	4
39	с самого	4	4
40	в этой	3	4
41	с ее	3	4
42	и наконец	4	4
43	так как	12	4
44	и их	6	4
45	только в	10	4
46	в нем	21	4
47	хотя бы	6	4
48	с ними	2	4
49	можно сказать	12	4
50	так и	9	4
51	в один	3	4
52	для всех	2	4
53	мысли и	2	4
54	самого начала	5	4
55	и даже	5	4
56	и она	2	3
57	что в	5	3
58	и притом	2	3
59	жизни и	13	3
60	и потому	6	3
61	на этой	2	3
62	а в	4	3
63	в том	22	3
64	их в	3	3
65	по сравнению	6	3
66	в общем	2	3
67	с другими	6	3
68	между ними	14	3
69	в области	6	3
70	до сих	8	3
71	только на	3	3
72	крайней мере	2	3
73	большинстве случаев	9	3
74	в большинстве	9	3
75	сравнению с	6	3
76	в этих	8	3
77	с их	3	3
78	как это	2	3
79	то что	14	3
80	реальности и	2	3
81	во всех	15	3
82	если б	7	3
83	по крайней	2	3
84	мира и	3	3
85	могут быть	5	3
86	сих пор	8	3
87	на язык	4	3
88	вместе с	5	3
89	в одном	4	3
90	этом смысле	5	3
91	к себе	8	3
92	и др	18	3
93	на этом	4	3
94	во всяком	2	3
95	том что	9	3
96	в основе	6	3
97	один из	7	2
98	никогда не	10	2
99	все остальные	2	2
100	что мы	2	2
101	по своему	6	2
102	мы видим	2	2
103	есть и	4	2
104	на них	2	2
105	в них	4	2
106	в жизни	14	2
107	и действительно	3	2
108	кажется что	3	2
109	к ним	5	2
110	для этого	2	2
111	и вообще	3	2
112	и для	5	2
113	нам кажется	4	2
114	в область	2	2
115	все то	4	2
116	что это	2	2
117	оно и	2	2
118	и по	5	2
119	а на	2	2
120	что и	4	2
121	не менее	4	2
122	ее в	4	2
123	во сне	7	2
124	было бы	6	2
125	не могут	4	2
126	и других	12	2
127	о том	3	2
128	можно назвать	2	2
129	то же	10	2
130	они не	5	2
131	с этим	3	2
132	как и	13	2
133	что он	6	2
134	так же	4	2
135	говорить о	2	2
136	да еще	2	2
137	образов и	7	2
138	того же	5	2
139	но ведь	3	2
140	находится на	2	2
141	в своей	5	2
142	мы не	7	2
143	себя и	3	2
144	из этих	3	2
145	но как	2	2
146	в самом	7	2
147	в начале	2	2
148	в свое	4	2
149	войти в	3	2
150	и вся	4	2
151	связанные с	3	2
152	он не	5	2
153	у него	5	2
154	своей жизни	3	2
155	это последнее	2	2
156	ту же	2	2
157	между собою	2	2
158	во всей	5	2
159	если мы	5	2
160	со всеми	8	2
161	при всей	3	2
162	и о	3	2
163	к другим	4	2
164	всех его	3	2
165	за пределы	7	2
166	к этому	5	2
167	что на	2	2
168	нем нет	3	2
169	в развитии	5	2
170	нет и	3	2
171	и через	5	2
172	поэтому и	4	2
173	с помощью	4	2
174	связанных с	2	2
175	не знает	8	2
176	в пределах	8	2
177	и т.п	42	2
178	и так	4	2
179	на границе	4	2
180	всех других	2	2
181	и этим	3	2
182	есть в	7	2
183	почти не	2	2
184	мы уже	9	2
185	всей их	2	2
186	на основе	4	2
187	с ним	3	2
188	на протяжении	5	2
189	но это	7	2
190	рождение и	2	2
