N	2gram	Bakhtin_Pr	VLabPisa
1	таким образом	10	32
2	в этом	15	29
3	не только	9	26
4	и в	38	26
5	и т	14	25
6	может быть	26	23
7	хотя бы	4	20
8	и не	42	20
9	художественного творчества	12	19
10	не может	27	17
11	в том	8	15
12	в его	43	15
13	этом отношении	2	14
14	прежде всего	13	13
15	все это	3	13
16	в частности	2	12
17	как это	2	12
18	что в	7	11
19	с другой	7	11
20	то же	5	10
21	не могут	2	10
22	но и	9	10
23	и др	8	10
24	о том	4	10
25	в художественном	20	10
26	к этому	2	9
27	т п	13	9
28	в своем	5	8
29	том что	3	8
30	не следует	2	8
31	творчества в	3	8
32	могут быть	5	8
33	другой стороны	4	8
34	все эти	5	8
35	было бы	8	8
36	только в	13	8
37	художника и	5	8
38	это не	5	7
39	во всех	11	7
40	по отношению	21	7
41	художественное произведение	8	7
42	то что	8	7
43	действительности и	3	7
44	отношению к	19	7
45	как и	7	7
46	в нем	15	7
47	в конечном	4	7
48	произведения в	5	7
49	не было	2	7
50	а не	5	7
51	произведения и	2	7
52	художественном творчестве	10	6
53	произведения как	8	6
54	не в	7	6
55	в то	4	6
56	в себе	4	6
57	художественного произведения	11	6
58	все же	6	6
59	том же	2	6
60	в искусстве	12	6
61	так и	5	6
62	приводит к	3	6
63	художественное творчество	7	6
64	и его	16	6
65	между тем	7	6
66	никогда не	5	5
67	сказать что	4	5
68	в плане	7	5
69	конечном счете	4	5
70	в пределах	6	5
71	в их	10	5
72	не является	3	5
73	и при	2	5
74	как бы	22	5
75	в них	5	5
76	в целом	3	5
77	связи с	2	5
78	же время	3	5
79	и есть	2	5
80	на основе	6	5
81	по поводу	2	4
82	одна из	2	4
83	в нашей	2	4
84	и ее	2	4
85	в виду	4	4
86	что он	2	4
87	в романе	4	4
88	по существу	2	4
89	что все	2	4
90	должен быть	2	4
91	в единстве	12	4
92	отнюдь не	19	4
93	их и	2	4
94	в самом	7	4
95	в ее	4	4
96	с ними	4	4
97	познания и	30	4
98	в своей	7	4
99	в связи	2	4
100	можно сказать	2	4
101	не обходится	2	4
102	художественном произведении	5	4
103	с его	2	4
104	и от	3	3
105	например в	3	3
106	и к	3	3
107	мы имеем	2	3
108	но как	2	3
109	и он	2	3
110	том как	2	3
111	в форме	4	3
112	в значительной	2	3
113	др в	2	3
114	его в	9	3
115	и как	8	3
116	если бы	3	3
117	творчества и	5	3
118	для того	2	3
119	у нас	2	3
120	его не	2	3
121	того что	2	3
122	нет и	3	3
123	далеко не	5	3
124	она не	2	3
125	а в	6	3
126	в котором	2	3
127	точки зрения	8	3
128	что оно	2	3
129	между ними	4	3
130	что не	4	3
131	и художественного	3	3
132	того чтобы	2	3
133	что и	2	3
134	и художественное	2	3
135	и мир	2	3
136	и отдельных	2	3
137	или в	2	3
138	этой области	2	3
139	в слове	3	3
140	вовсе не	2	3
141	можно определить	2	2
142	определить как	2	2
143	относится к	4	2
144	да и	3	2
145	или иной	2	2
146	и потому	4	2
147	того или	2	2
148	слова не	3	2
149	с другими	3	2
150	а к	2	2
151	одной стороны	3	2
152	можно было	4	2
153	и напряжения	2	2
154	в каждом	2	2
155	должно быть	5	2
156	искусства не	3	2
157	отличается от	2	2
158	в другом	2	2
159	и даже	3	2
160	и у	2	2
161	лица и	2	2
162	и познания	2	2
163	и весь	2	2
164	а как	3	2
165	бы не	2	2
166	все они	5	2
167	в особенности	2	2
168	не всегда	6	2
169	в области	11	2
170	и наконец	6	2
171	еще не	7	2
172	всех его	4	2
173	в известной	3	2
174	в чем	2	2
175	формы и	5	2
176	с одной	3	2
177	же самое	2	2
178	не с	4	2
179	одной из	3	2
180	от них	2	2
181	но не	12	2
182	и для	11	2
183	искусства и	3	2
184	ни с	2	2
185	художественную форму	4	2
186	также и	3	2
187	не менее	4	2
188	на него	3	2
189	но в	4	2
190	следует что	2	2
191	они не	3	2
192	на то	2	2
193	он может	2	2
194	не вполне	2	2
195	в своих	2	2
196	ни одна	2	2
197	в ней	4	2
198	к его	2	2
199	на этом	2	2
200	из которых	2	2
201	смысле слова	2	2
202	человека в	2	2
203	отметить что	7	2
204	должны быть	4	2
205	в противном	3	2
206	говорить о	3	2
207	он не	3	2
208	должна быть	4	2
209	в словесном	2	2
210	но с	3	2
211	хотя и	3	2
212	лишь в	2	2
213	противном случае	3	2
