N	2gram	Nazirov_Tv	Sotsiolo
1	все это	14	7
2	в том	13	5
3	в этом	11	5
4	не только	16	3
5	и только	2	3
6	в его	19	3
7	но ведь	2	3
8	не в	3	3
9	и в	40	3
10	это и	4	2
11	дело не	3	2
12	отношению к	3	2
13	по отношению	3	2
14	идей и	2	2
15	еще не	5	2
16	по природе	6	2
17	только в	7	2
18	что в	17	2
19	в частности	4	2
20	том что	14	2
21	было бы	2	2
22	таким образом	14	2
23	то же	19	2
24	только как	2	2
25	как будто	5	2
26	и что	2	2
27	к которому	3	2
28	то что	9	2
29	как бы	26	2
30	но и	10	2
31	в конце	5	2
32	или даже	2	2
33	далеко не	3	2
34	может быть	11	2
